title,release,gf_score,metascore,genre,description,cover_art_url
Lunar: Silver Star Story Complete,1999-05-28,4.24,78,Role-Playing » Japanese-Style,"Return to the world of LUNAR, in the completely reworked 32-bit version of the RPG classic. Journey back to a place where dragons yet live, and magic is valued above all else. Join Alex, the young adventurer, as he begins a quest with his friends to save their land from the crushing advance of the Magic Emperor. Explore Dungeons, fight terrifying monsters, and gather information from the locals as you advance toward the explosive encounter with the Magic Emperor himself! Exciting, menu-driven combat will keep you challanged until the last. And, thanks to the storage power of CD and the PlayStation's built-in movie player, LUNAR contains nearly an hour of incredible animation sequences that will get you involved in the story faster than you ever thought possible. Get ready for the ride of your life...",https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Lunar1box.jpg/220px-Lunar1box.jpg
Final Fantasy Chronicles,2001-06-29,4.23,89,Miscellaneous » Compilation,"When these games came out, they defined what adventures should be. Since then, they have become the most popular and sought-after titles in history. Now you can experience the re-release of two complete, classic games, enhanced with all-new cinemas and features never before seen in the U.S. Final Fantasy IV was previously released as Final Fantasy II, but has been completely restored with new magic, monsters, items, CG cinemas, and added features. Chrono Trigger is a re-release of the original game. This time-traveling prequel to Chrono Cross is enhanced with all-new animated scenes.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Ffcbox.jpg/220px-Ffcbox.jpg
Lunar 2: Eternal Blue,2000-12-15,4.23,86,Role-Playing » Japanese-Style,"The enchanting world of LUNAR comes to life once more in the enhanced PlayStation game console version of the classic RPG sequel. Join freewheeling Hiro and the adorable Ruby, a thousand years after the events of LUNAR: Silver Star Story, as they work to unlock the secrets of the Blue Spire... and the strange young girl they found within it! But be careful - dark forces are trying to revive the evil Zophar, and immerse LUNAR in darkness forever. Journey to distant lands in the search of the Goddess Althena, who may be the only one powerful enough to stop Zophar. Along to way, you'll meet exciting new caracters, fight vividly animated monsters, traverse snow-covered mountain peaks, and crawl throught slimy dungeon depths as you wind your way toword the terrifying climax! LUNAR 2 features almost an hour of detailed animation sequences and over 90 minutes of dialogue packed onto three CDs... so what are you waiting for? Go ahead, you deserve to be the hero for once!",https://images-na.ssl-images-amazon.com/images/I/91ebG%2BGb3SL._SX522_.jpg
Crash Bandicoot 3: Warped,1998-10-31,4.22,91,Action » Platformer » 3D,"Oh yeah... he's back... AND he's ready!It's A Whole New Time-Traveling Adventure!- All new-style gameplay action - scuba dive, ride a motorcycle, a baby T-Rex, and go free-roaming airborne in a plane! - Play as Coco! Gallop along the Great Wall of China on a tiger, go extreme on a jet-ski, and other high-flying surprises!- Prove your skills with the new Super-charge Body Slam, Super Slide, Double Jump, Death-Tornado Spin, and a Laser-Guided Bazooka.- All new enemies include a new Big Boss, Uka Uka, N. Tropy, a menacing Dingodile, and of course, the return of some favorites like N. Gin and Tiny.- More Action, More Fun, More Puzzles, and Secret Levels. And you didn't think it could get any better!",https://store.playstation.com/store/api/chihiro/00_09_000/container/GB/en/999/EP9000-NPEE00014_00-GCRASHBAND000003/1561510686000/image?w=240&h=240&bg_color=000000&opacity=100&_version=00_09_000
Chrono Cross,2000-08-15,4.22,94,Role-Playing » Japanese-Style,"Featuring a storyline developed by the creator of Chrono Trigger and Xenogears, Chrono Cross has been christened the ""Best RPG Creation"" by its development team. With multiple scenarios cast along a single story thread, and many different endings, each replay can result in an entirely new adventure. In addition, a brand new battle system makes combat smooth and innovative by introducing an element field system and combo system that gives the player unparalleled flexibility in their fighting options. The elimination of random battles also quickens the pace of the game, and places the choice of where to battle in the player's hands.",https://wallpapercave.com/wp/DCx1SWC.jpg
Tekken 3,1998-04-29,4.21,96,Action » Fighting » 3D,"An ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for their lives and the fate of all mankind.",https://images-na.ssl-images-amazon.com/images/I/91UfxCMRhkL._SX342_.jpg
Mega Man Legends 2,2000-10-24,4.21,76,Role-Playing » Action RPG,"Mega Man, Roll and all your favourites are back in an entirely new 3-D adventure! Far away, in an isolated wasteland, a mysterious girl and an infamous treasure have been discovered. It's the legendary ""Sealed Key"", rumored to unlock an even greater mystery known as the Great Legacy. What power does the Great Legacy hold? Now, a race unfolds as Mega Man and his friends embark on a journey which will alter their destinies forever.","https://i.ebayimg.com/08/!!eBWJ5gB2M~$(KGrHqR,!iQE0HO53k)nBNQonQSkN!~~_1.JPG?set_id=89040003C1"
Spyro 2: Ripto's Rage!,1999-10-31,4.2,,Action » Platformer » 3D,"Spyro is back. After successfully rescuing all of the elder Dragons, Spyro is taking a vacation to Dragon Shores--at least that's where thinks he's going. As Spyro, you'll set off on a journey spanning 30 huge worlds full of puzzles, hidden areas, awesome power-ups, and helpless inhabitants just waiting to be rescued. Now Spyro can swim, climb, glide-hover, ground stomp, superfly, supercharge, and superflame. This is a vacation Spyro will not soon forget.",https://images-na.ssl-images-amazon.com/images/I/71KtgBr8WKL._SX342_.jpg
Crash Team Racing,1999-10-19,4.2,88,Racing » Arcade » Automobile,"It's a multiplayer kart racing game starring your favourite bandicoot, Crash and a host of his friends... and foes! The stakes are high and the competition is fierce.Ready... Set... Go!!!!!",https://ksassets.timeincuk.net/wp/uploads/sites/54/2019/06/crash-team-racing-nitro-fueled-art-920x460.jpg
Street Fighter Alpha 3,1999-04-30,4.19,93,Action » Fighting » 2D,Street Fighter Alpha 3...scores a triple K.O.!,https://www.fightersgeneration.com/np5/gm/sfa3max-s9.jpg
Suikoden II,1996-12,4.19,,Role-Playing » Japanese-Style,"Treachery is eating like a maggot at the heart of the Scarlet Moon Empire. But is the Empire corrupt or the people just disloyal? Only you can find out. Take the role of an Imperial Guard in this epic tale of betrayal, greed and honour as he struggles to find the truth. Head teams of fighters and magicians in battles against weird monsters then lead an army into battle against awesome opponents.",https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Suikoden2_NA.jpg/220px-Suikoden2_NA.jpg
The Legend of Dragoon,2000-06-13,4.18,74,Role-Playing » Japanese-Style,"The Legend of Dragoon is a role-playing video game developed by SCE Japan Studio and published by Sony Computer Entertainment for the PlayStation in 1999 in Japan, 2000 in North America, and 2001 in Europe.",https://images-na.ssl-images-amazon.com/images/I/61VSBSPlQtL._SX342_.jpg
Final Fantasy Anthology,1999-09-30,4.18,80,Miscellaneous » Compilation,"Final Fantasy Anthology combines two titles from the Final Fantasy series and offers PlayStation owners a glimpse into the past. Huge worlds, in-depth storylines, and innovative battle and magic systems, and an incredible cast of characters all make for a deep gaming experience. The inclusion of Final Fantasy V marks the first time this title has appeared on a console in North America. Final Fantasy VI, originally released as Final Fantasy III on the SNES system in the U.S., makes its first appearance on the PlayStation. Both games in this compilation feature never-before-seen CG movies, adding to the appeal of these classics.",https://i.ebayimg.com/images/g/KFAAAOSwk1haTPTE/s-l300.jpg
Resident Evil 3: Nemesis,1999-11-11,4.18,,Action Adventure » Survival,"A month and a half have passed since the mansion lab incident and now the secrets come back to haunt you in Resident Evil 3: Nemesis. Join Jill Valentine in her attempt to escape a nightmarish city in ruins. Around every corner lurk hordes of flesh-eating zombies, hideous mutants, and a relentless new nemesis. You'll soon rely on cunning and brute force to stay alive. The Resident Evil series has taken a horrifying turn, unveiling new layers in the Umbrella Corporation's devious activities.",https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Resident_Evil_3_Cover.jpg/220px-Resident_Evil_3_Cover.jpg
Klonoa: Door to Phantomile,1998-06,4.17,,Action » Platformer » 2D,"Explore a magical world of mystery and adventure. Join Klonoa on a fantastic journey in the land of Phantomile, where the mysterious crash of a flying ship starts an epic quest through colorful worlds of thrills and danger.",https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Klonoa_playstation_front.jpg/220px-Klonoa_playstation_front.jpg
Mega Man X4,1997-09-25,4.16,,Action » Platformer » 2D,"Battle armies of Maverick Reptoid Robots while mastering all-new strategic moves like the Air Hover and Zero's Saber Tactic system. Discover a myriad of power-ups, secret rooms, extra weapons and invincible vehicles to take on 8 all new X-Hunter Bosses. And for the first time, play as Mega Man X or battle with his mighty partner Zero in 2 separate adventures.",https://steamcdn-a.akamaihd.net/steam/apps/906634/header.jpg?t=1532485463
Final Fantasy VIII,1999-09-07,4.16,90,Role-Playing » Japanese-Style,"Final Fantasy VIII is a role-playing video game developed and published by Square for the PlayStation console. Released in 1999, it is the eighth main installment in the Final Fantasy series.",https://cdn3-www.playstationlifestyle.net/assets/uploads/2019/06/final-fantasy-viii-remastered-1.jpg
Breath of Fire III,1998-04-30,4.16,,Role-Playing » Japanese-Style,"The lone survivor of a legendary dragon clan, a rebellious youth embarks on a great journey. One of discovery - and danger. The classic role-playing game now returns to continue the epic tale of Ryu and the dragon people. An inner power of uncertain origin matures Ryu into a warrior who ponders his purpose as he embarks on a mystical journey. What lies ahead is shrouded in mystery...yet strangely familiar.",http://itcm.co.kr/files/attach/images/813/451/211/9910ef7c0b6a28c238528ec5b5761510.jpg
Resident Evil: Director's Cut,1997,4.15,,Action Adventure » Survival,FACE YOUR FEARS... In the ultimate experience of suspense and terror. Blood-thirsty zombies. Mutant beasts. Monstrous serpents. Untold mysteries lurk around every corner. The nightmare lives on in the award-winning game of survival horror. Now the terror comes alive with the Dual Shock Analog Controller to send shivers up and down your spine.,https://images-na.ssl-images-amazon.com/images/I/71%2BDvHMkEQL._SX342_.jpg
Front Mission 3,2000-02-29,4.15,,Strategy » Turn-Based » Tactics,"Will you fight with them or against them? This one question will direct your future and decide on which side of the line you battle in the latest Squaresoft game, Front Mission 3. The unique Double Feature Scenario will have you defend the Oceana Community Union from a group of rebel forces or, on the other hand, have you become a member of the rebellion. Customize your wanzer robot by purchasing stronger weapons, or just steal a piece of armor off a captured foe. Either way, be prepared to power up your robot and take back the streets for over 150 hours of mechanized strategic combat in the year 2112.",https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Front_Mission_3_Coverart.png/220px-Front_Mission_3_Coverart.png
Spyro: Year of the Dragon,2000-10-24,4.14,91,Action » Platformer » 3D,"Thieves have kidnapped a brood of dragon eggs, while, elsewhere in the Dragon Lands, a gateway to the Forgotten World has been uncovered. Sent to recapture the eggs, Spyro the Dragon, and his best friend Sparx, face a journey into uncharted territory against his most fearsome enemy yet - the Sorceress! All new playable characters, frantic challenges and new exciting worlds to explore - the Year of the Dragon begins here!",https://i.ebayimg.com/images/i/153325365629-0-1/s-l1000.jpg
Langrisser IV & V Final Edition,1999-01-28,4.14,,Miscellaneous » Compilation,"Langrisser IV & V Final Edition is a Miscellaneous game, developed and published by NCS, which was released in Japan in 1999.",https://s.pacn.ws/1500/9r/pa.175786.1.jpg?o3s7nl
Metal Gear Solid Integral,1999-06-24,4.13,,Action Adventure » General,"Metal Gear Solid Integral is an Action Adventure game, developed and published by Konami, which was released in Japan in 1999.",https://vignette.wikia.nocookie.net/metalgear/images/4/4f/Metal_Gear_Solid_Integral.png/revision/latest?cb=20091227203208
Vagrant Story,2000-05-15,4.12,92,Role-Playing » Action RPG,"Relive an adventurous tale rich with agents, espionage, and conspiracies. Challenge deadly monsters and villains with your steel and magic. Clear your name by uncovering a sinister plot -- or perish in the attempt.",https://images-na.ssl-images-amazon.com/images/I/61KPFN43GSL._SX342_.jpg
The Misadventures of Tron Bonne,2000-04-30,4.12,,Action Adventure » General,"The infamous baddies from the MegaMan series - Tron and her Servbots are on the rampage!! They are up to their evil deeds again, robbing banks and unearthing the lost treasures.VARIOUS EASY-TO-PLAY MISSIONS!All games into one! Action, puzzle, RPG and even gambling in casinos. Master the game you are good at and make loads of money!TRAIN YOUR CUTE LITTLE SERVBOTS!They are very loyal yet can be clumsy and undependable at times. Train them well at the gym and even send slackers to the punishment room!",https://images-na.ssl-images-amazon.com/images/I/61JTFVY2X1L.jpg
Resident Evil,1996-03-30,4.12,91,Action Adventure » Survival,"Raccoon City has been completely overrun by mutant beasts and bloodthirsty zombies. You are a member of S.T.A.R.S.--a rescue squad sent into the community to investigate the ominous mansion at the core of the disaster. Take the role of operative Jill Valentine or Chris Redfield and uncover the secrets behind a radical, genetic research facility. With an array of weapons to master and horrors around every corner, the ultimate test may be just to make it out alive.",https://steamcdn-a.akamaihd.net/steam/apps/883710/header.jpg?t=1556224097
Parasite Eve,1998-09-09,4.11,81,Role-Playing » Action RPG,"One of them is a police officer. The other is possessed by an ancient evil threatening all life on Earth. The horrifying bond between them will continue until something dies. A chilling adventure that could only come from the creators of Final Fantasy VII. An epic sci-fi tale told through stunning 3D rendered sequences. Battle mutant monsters in real-time polygon combat. Customize weapons, armor, and character abilities.",https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Parasite_Eve_Coverart.png/220px-Parasite_Eve_Coverart.png
Mega Man Legends 2,1998-08-31,4.1,,Role-Playing » Action RPG,"THE BLUE BOMBER BLASTS INTO A WHOLE NEW DIMENSIONMega Man blasts his way into the third dimension in an amazing new adventure. Mega Man Legends combines the best of classic Mega Man action with enormous bosses, a riveting storyline and all the depth of the hottest RPG. Explore vast 3-D worlds in your quest to find the treasure of all treasures, the Mother Lode. You'll love the new 3-D graphics, deadly weapons and non-stop action ... unless of course, you're a boss.",https://images-na.ssl-images-amazon.com/images/I/61g5uHE21aL._SX342_.jpg
Tactics Ogre,1998-05-01,4.1,,Strategy » Turn-Based » Tactics,"After generations of war between the various ethnic groups, King Dogare brought peace to the land of Valeria. When the king dies Valeria is split into three different groups, each claiming the throne. You take the role of a young boy as he embarks on a quest to save the land from turmoil and assume the throne. You will have to journey throughout the land and recruit members for an army. Once recruited, the members will gain experience through the turn-based battles. Up to 10 party members can participate in any battle. Eventually, the characters can change classes and learn skills that are specific to each class. However, you will have to make sure your party is balanced or you will face certain doom. Will you be able to save the world from chaos in Tactics Ogre?",https://upload.wikimedia.org/wikipedia/en/thumb/8/81/Tactics_orge_ps1.png/275px-Tactics_orge_ps1.png
Crash Bandicoot 2: Cortex Strikes Back,1997-11-5,4.1,,Action » Platformer » 3D,"Crash Bandicoot 2 is bigger, bolder, and better than its predecessor. The sequel to Crash Bandicoot features lush 3D environments, more than 30 levels, challenging puzzles, and new bonus rounds. The game is full of brand-new enemies and characters--Kimodo Joe and Moe, Tiny, N. Gin, and Crash's younger sister Coco. But don't worry--old foes like Ripper Roo and Dr. N. Brio, are back for more fun and mischief. Crash's moves have also been enhanced, so that he is able to super-jump, long jump, crawl, slide, body slam, run, swing, surf on a jetboard, and fly through the air with a jetpack.",https://images-na.ssl-images-amazon.com/images/I/61hOHfsyxsL._SX342_.jpg
Ogre Battle: The March of the Black Queen,1997-07-31,4.1,,Strategy » Turn-Based » Tactics,"An enhanced version of the popular 16-bit title -- now impossible to find! Ogre Battle: The March of the Black Queen features improved graphics, additional musical scores, and we have even redone the spells to look even better than in the original version! Command your army through the Zenobian Empire and reclaim the continent! Along the way, recruit additional characters to join your quest. Once in control, will you hand over power to the rightful ruler or keep the continent to yourself? Only you can decide!",https://www.lukiegames.com/assets/images/SNES/snes_ogre_battle_march_black_queen_p_aekcy4.jpg
Spyro the Dragon,1998-09-09,4.1,,Action » Platformer » 3D,"He's cute. He's purple. A nasty burp could send those in his vicinity to the burn unit. Allow us to introduce you to Spyro the Dragon. In his debut adventure, Spyro must free his fellow fire-breathers from their crystalline prisons that are located across six worlds. He'll have to run, jump, glide, walk, roll, and fly his way through each of the 35 levels. And when things get physical, he can use a number of attacks on enemies, including fireballs, charge attacks, and superflames.",https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Spyro_the_Dragon.jpg/220px-Spyro_the_Dragon.jpg
Tales of Phantasia,1998-12-23,4.1,,Role-Playing » Action RPG,"Tales of Phantasia is a Role-Playing game, developed and published by Namco, which was released in Japan in 1998.",https://upload.wikimedia.org/wikipedia/en/8/82/Tales_of_Phantasia_SFC_boxart.jpg
Grandia,1999-09-30,4.1,89,Role-Playing » Japanese-Style,"Join Justin and friends on an epic journey through a captivating story line, providing over 80 hours of intensive gameplay. With vast polygonal worlds to explore and extensive character interaction, Grandia features innovative gameplay with a unique magic combination and character development system and a choice of two battle modes; classic turn-based or automatic.",https://lparchive.org/Grandia/1-5049bf4cc7164.jpg
Tomba!,1998-06-30,4.09,,Action » Platformer » 2D,Evil pigs. Man-eating plants. Hidden paths. Wacky weapons. Moving obstacles. Can you believe what Tomba has to go through to conquer the menacing swine?!,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Tomba%21_NTSC.png/220px-Tomba%21_NTSC.png
Tales of Destiny II,2001-09-10,4.09,78,Role-Playing » Action RPG,"Reid Hershel, Farrah Oersted, and a mysterious girl named Meredy must embark on a journey to learn the truth on the fate of their world. The story begins when Reid and Farrah attend to the crash of a spaceship near their hometown, Rashea. As they investigate the place of the incident, a weird blue animal leads them to a young girl injured by the crash who speaks an unknown language. Further on, Reid and Farrah learn that the mysterious girl, named Meredy, came here to prevent a deadly collision between her planet, Celestia, and Reid and Farrah's world, Inferia. With the help of some friends picked up along the way, Reid, Farrah, and Meredy set out on a quest to collect a set of spiritual beings, their only hope to save both of their planets from a terrible disaster. Control 1 character out of a party of 4 through magnificent 2D environments and 3D world maps. Master the ""Tales of"" Linear Motion Battle System; built around different striking techniques, real-time combos and spells. Discover a bunch of challenging mini games perfectly implemented to the story that will make the characters earn unique features.",https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Tod2cover.jpg/220px-Tod2cover.jpg
Arc the Lad Collection,2002-04-18,4.09,78,Miscellaneous » Compilation,"Six Disc Collector's Edition!Includes 5 Game CDs, and 1 Exclusive ""Making of Arc the Lad"" CD! 150+ Page Letherette Hardbound Artbook/Instruction Manual!Exclusive Thumb Button Covers!Exclusive Memory Card Holder!Exclusive Character Mini-Standees!Built in Save Conversion!Convert Data from one chapter to the next to unlock secret events and special items!Arc the Lad IThe first game in the series that really defined what a Strategy/RPG could be introduces players to a magical world teetering on the edge of destruction. Only young Arc posses the power to stop the impending destruction, as he fights his way to unsealing the power of Ark, with help from his friends Kukuru, Poco, Tosh, Gogen, and Iga.Arc the Lad II and Arc ArenaThe second game in the Arc series introduces Elc, a bounty hunter with a tragic past. He must join forces with Arc to stop the minions of the Dark One, whose presence was only hinted in the first game. A vast array of impressive Strategy/RPG innovations are introduced in this chapter, like the job system, weapon melding, and multiple-viewpoint storylines. In another first in U.S. console gaming, players can load Arc the Lad II save data into the innovative Arc Arena CD that is included in this package. Players can then take monsters captured in their individual games and battle it out for prizes in the monster tournament.Arc the Lad IIIArc the Lad III introduces a new lead character Alec, and ties up all the storylines developed in the first two games in a way that will leave diehard role-playing fans breathless. It also brings the Arc world into a fully-3D polygon environment! Join Alec as he continues Arc's heroic battle to save the world from the black advance of ultimate evil!",https://images-na.ssl-images-amazon.com/images/I/51KJA73JJ5L._SX342_.jpg
Tony Hawk's Pro Skater 2,2000-09-20,4.08,98,Sports » Individual » Skate / Skateboard,"Hawks back. With new technology. New Pros. And new tricks. THPS2, the legend rides on.Skate as legendary Tony Hawk or one of 12 other Pro Skaters. Create Your Own Custom Skaters.Multiple Play Modes Including 1-Player Career and free Skate Modes as Well as 1-Player Modes Such as Trick Attack, Graffiti, Tag and Horse. Build Your Own Custom Skate Parks with The 3D Real-Time Park Editor. Signature Pro Moves Including Hundreds of New Tricks. Includes Hip-Hop & Punk Soundtrack Featuring Rage Against the Machine, Naughty by Nature, Papa Roach and More",https://images-na.ssl-images-amazon.com/images/I/51FJZMEGENL._SX342_.jpg
Gran Turismo 2,1999-11-30,4.08,93,Racing » Simulation » Automobile,"The world's most advanced racing game returns with thunderous new features. Over 500 racing machines from world-class manufacturers.- All vehicles are designed according to their exact specifications and are fully customizable.- Insane Arcade mode with power slides, burnouts, jumps and excessive speeds- Killer soundtrack from star-studded bands- Benchmark 3D graphics- Intense two player racing",https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/GranTurismo2.jpg/220px-GranTurismo2.jpg
Super Puzzle Fighter II Turbo,1996-11-30,4.08,83,Puzzle » Matching,"Burst right into the feverish puzzle action that combines irresistible, addictive fun with famous Capcom characters. Beat your opponent to the punch by stacking block after block in strategic patterns and color combinations. Be the first to fill the opponent's screen with blocks and K.O. you win! But get ready for more, because you can't play just once.",https://i.ebayimg.com/images/i/352145122692-0-1/s-l1000.jpg
Monster Rancher 2,1999,4.08,83,Strategy » General,"Monster Rancher 2 can unleash hundreds of monsters from your common household CDs. That's right-you can actually use this game software to spawn unique monsters from any CD you own-music CDs, PC software CDs, or even other game CDs. EVERY CD YOU OWN CONTAINS A MONSTER that you can unleash into the world of the Monster Rancher 2, and then nurture and raise him (or her) to be the ultimate fighting machine.",https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Monsterrancher2cover.jpg/220px-Monsterrancher2cover.jpg
