title,released,gf_score,metascore,genre,description,cover_art_url,title_id
A Boy and His Blob,2016-06-21,,74,"Puzzle, Platform","A Boy and His Blob brings the classic puzzle-platformer to PlayStation Vita with hand-drawn visuals and heartwarming gameplay. Players guide a boy and his shape-shifting blob companion through imaginative levels filled with environmental puzzles. The blob transforms into useful objects like ladders, trampolines, and parachutes by feeding him different flavored jellybeans. This charming adventure emphasizes creative problem-solving and cooperation as the duo works together to overcome obstacles, defeat enemies, and rescue Blobolonia from the evil Emperor. The game features beautiful art, challenging puzzles, and an endearing bond between boy and blob.",https://images.launchbox-app.com/4823ec79-bb3b-41cd-9f5b-695b09f9cbdf.png,PCSB00811
A Boy and His Blob,2016-06-21,,74,"Puzzle, Platform","A Boy and His Blob brings the classic puzzle-platformer to PlayStation Vita with hand-drawn visuals and heartwarming gameplay. Players guide a boy and his shape-shifting blob companion through imaginative levels filled with environmental puzzles. The blob transforms into useful objects like ladders, trampolines, and parachutes by feeding him different flavored jellybeans. This charming adventure emphasizes creative problem-solving and cooperation as the duo works together to overcome obstacles, defeat enemies, and rescue Blobolonia from the evil Emperor. The game features beautiful art, challenging puzzles, and an endearing bond between boy and blob.",https://images.launchbox-app.com/4823ec79-bb3b-41cd-9f5b-695b09f9cbdf.png,PCSE00726
A Certain Magical Virtual-On,2018-02-15,,,Action,"A Certain Magical Virtual-On combines the fast-paced mech combat of the Virtual-On series with characters from the A Certain Magical Index universe. Players pilot Virtuaroids in intense battles while experiencing a story that bridges both franchises. The game features various playable characters from the Index series, each paired with their own customized mech. Battle through story mode to uncover the mystery behind the fusion of these two worlds, or engage in versus matches. The unique collaboration brings together science fiction mech action with the espers and magic of Academy City.",https://images.launchbox-app.com/6d1eb29a-ed5e-4f0b-b9a9-b52e197b5142.jpg,PCSH10075
A Good Librarian Like a Good Shepherd -Library Party-,2015-01-15,,,Visual Novel,,,PCSG00505
A Hole New World,,,69,,,https://images.launchbox-app.com/03c59406-f2c3-495c-9288-16c1a94367da.png,PCSB01118
A Hole New World,,,69,,,https://images.launchbox-app.com/03c59406-f2c3-495c-9288-16c1a94367da.png,PCSE01095
A Rose in the Twilight,2017-04-11,,70,"Action, Puzzle","A young girl cursed with a rose growing from her body awakens in a ruined castle. She discovers she has the power to absorb blood and transfer it to objects, bringing them to life. Accompanied by a giant with immense strength, she explores the dark corridors and solves environmental puzzles. Together, they uncover the mysteries of the cursed castle while managing their unique abilities. The gothic atmosphere and puzzle-platforming gameplay create a haunting adventure through shadowy halls filled with deadly traps and forgotten secrets.",https://images.launchbox-app.com/de21fd7d-039a-4aae-bce6-f9aea3bcc6c9.png,PCSB01095
A Rose in the Twilight,2017-04-11,,70,"Action, Puzzle","A young girl cursed with a rose growing from her body awakens in a ruined castle. She discovers she has the power to absorb blood and transfer it to objects, bringing them to life. Accompanied by a giant with immense strength, she explores the dark corridors and solves environmental puzzles. Together, they uncover the mysteries of the cursed castle while managing their unique abilities. The gothic atmosphere and puzzle-platforming gameplay create a haunting adventure through shadowy halls filled with deadly traps and forgotten secrets.",https://images.launchbox-app.com/de21fd7d-039a-4aae-bce6-f9aea3bcc6c9.png,PCSE01046
A Virus Named TOM,2012-08-14,,74,Puzzle,A Virus Named TOM is a frantic puzzle game where you play as the eponymous virus created by a mad scientist. Your goal is to infect and destroy various electronic systems by rotating circuit tiles to create paths for your viral energy. Navigate through increasingly complex puzzles across different machines and devices while racing against time. The game combines strategic tile-rotation mechanics with fast-paced action as you sabotage the scientist's technological empire piece by piece.,https://images.launchbox-app.com/ffc3da22-a9b5-4e2e-9bb7-0835b646397e.png,PCSB00955
A Virus Named TOM,2012-08-14,,74,Puzzle,A Virus Named TOM is a frantic puzzle game where you play as the eponymous virus created by a mad scientist. Your goal is to infect and destroy various electronic systems by rotating circuit tiles to create paths for your viral energy. Navigate through increasingly complex puzzles across different machines and devices while racing against time. The game combines strategic tile-rotation mechanics with fast-paced action as you sabotage the scientist's technological empire piece by piece.,https://images.launchbox-app.com/ffc3da22-a9b5-4e2e-9bb7-0835b646397e.png,PCSE00501
A Winter's Daydream,,,,,,https://images.launchbox-app.com/03011b73-0cbf-466d-b6ea-f17760e74393.jpg,PCSB01346
A Winter's Daydream,,,,,,https://images.launchbox-app.com/03011b73-0cbf-466d-b6ea-f17760e74393.jpg,PCSE01389
A-men,2012-02-22,,62,"Puzzle, Platformer","A-men is a puzzle-platformer where players guide a team of small A-men workers through dangerous industrial environments. Using teamwork and special abilities, players must solve intricate puzzles by deploying different A-men types with unique skills like building platforms, defusing bombs, or operating machinery. Each level challenges players to think strategically about the order and placement of their team members to overcome obstacles, avoid hazards, and reach the exit. The game features physics-based puzzles and requires careful planning to successfully navigate its increasingly complex stages.",https://images.launchbox-app.com/2c7aa5e3-13b5-4f69-8494-42bb4126d8e9.png,PCSB00056
A-men,2012-02-22,,62,"Puzzle, Platformer","A-men is a puzzle-platformer where players guide a team of small A-men workers through dangerous industrial environments. Using teamwork and special abilities, players must solve intricate puzzles by deploying different A-men types with unique skills like building platforms, defusing bombs, or operating machinery. Each level challenges players to think strategically about the order and placement of their team members to overcome obstacles, avoid hazards, and reach the exit. The game features physics-based puzzles and requires careful planning to successfully navigate its increasingly complex stages.",https://images.launchbox-app.com/2c7aa5e3-13b5-4f69-8494-42bb4126d8e9.png,PCSE00232
A-men 2,2013-09-24,,58,"Puzzle, Platformer","A-men 2 is a puzzle-platformer where players guide a team of diminutive A-men through dangerous industrial environments filled with traps, enemies, and hazards. Each A-men possesses unique abilities that must be strategically employed to overcome obstacles and reach the exit. The game features physics-based puzzles, clever level design, and a darkly humorous tone as players navigate through factories, laboratories, and other perilous settings. With its challenging gameplay and emphasis on creative problem-solving, A-men 2 tests players' ability to think ahead and coordinate multiple characters to achieve their objectives.",https://images.launchbox-app.com/968363f4-1c3f-4c72-91a7-7dae40d8354d.png,PCSB00222
A-men 2,2013-09-24,,58,"Puzzle, Platformer","A-men 2 is a puzzle-platformer where players guide a team of diminutive A-men through dangerous industrial environments filled with traps, enemies, and hazards. Each A-men possesses unique abilities that must be strategically employed to overcome obstacles and reach the exit. The game features physics-based puzzles, clever level design, and a darkly humorous tone as players navigate through factories, laboratories, and other perilous settings. With its challenging gameplay and emphasis on creative problem-solving, A-men 2 tests players' ability to think ahead and coordinate multiple characters to achieve their objectives.",https://images.launchbox-app.com/968363f4-1c3f-4c72-91a7-7dae40d8354d.png,PCSE00324
A-men Demo,,,,"Puzzle, Platformer",,,PCSB00154
A.O.T. Wings of Freedom,2016-08-30,,68,Action,"Players take on the role of humanity's last hope as they battle against the monstrous Titans threatening to destroy civilization. Using the omni-directional mobility gear, scouts soar through the air to strike at the Titans' weak points in fast-paced aerial combat. Based on the popular Attack on Titan anime and manga series, the game features story missions that follow key events from the series, allowing players to experience iconic battles firsthand. Master the unique movement mechanics and coordinate attacks to take down these towering enemies.",https://images.launchbox-app.com/7af852f9-ce92-49a3-ab73-d3be7a1dca73.jpg,PCSB00898
A.W. : Phoenix Festa,2016-04-21,,55,"Action, Fighting","A.W.: Phoenix Festa is a fighting action game based on the popular light novel and anime series The Asterisk War. Players engage in fast-paced arena battles as students of the Seidoukan Academy, utilizing unique weapons and abilities in tournament combat. The game features visual novel-style story segments between battles, allowing players to interact with characters from the series and experience original storylines set in the Academy City on the water, Rikka (formerly Asterisk). Battle through the Phoenix Festa tournament and uncover new narratives in this anime-based action title.",https://images.launchbox-app.com/d503b55b-9625-4a3d-bbd7-49cc55703d6c.jpg,PCSB00960
A.W. : Phoenix Festa,2016-04-21,,55,"Action, Fighting","A.W.: Phoenix Festa is a fighting action game based on the popular light novel and anime series The Asterisk War. Players engage in fast-paced arena battles as students of the Seidoukan Academy, utilizing unique weapons and abilities in tournament combat. The game features visual novel-style story segments between battles, allowing players to interact with characters from the series and experience original storylines set in the Academy City on the water, Rikka (formerly Asterisk). Battle through the Phoenix Festa tournament and uncover new narratives in this anime-based action title.",https://images.launchbox-app.com/d503b55b-9625-4a3d-bbd7-49cc55703d6c.jpg,PCSE00871
Aabs Animals,,,,,,https://images.launchbox-app.com/0817140e-3334-463e-a6cf-917369966414.png,PCSB00384
Aabs Animals,,,,,,https://images.launchbox-app.com/0817140e-3334-463e-a6cf-917369966414.png,PCSE00278
Aabs Animals,,,,,,https://images.launchbox-app.com/0817140e-3334-463e-a6cf-917369966414.png,PCSG00138
Abunai Koi no Sousashitsu: Eternal Happiness,,,,,,,PCSG00591
Accel World vs Sword Art Online: Millennium Twilight,2017-03-16,,64,Role-Playing,"Players enter a unique crossover adventure where the virtual worlds of Accel World and Sword Art Online collide. As Kirito and other familiar faces team up with the Silver Crow, they must unravel the mystery behind a dangerous new threat that spans both universes. The game combines real-time action combat with RPG elements, allowing players to switch between characters and utilize their signature abilities. Navigate through interconnected storylines, forge new alliances, and battle formidable enemies in this ambitious meeting of two popular anime franchises.",https://images.launchbox-app.com/9f7ee30c-02ab-4b77-ab78-b9035bd2afaf.jpg,PCSH10038
Accel World vs. Sword Art Online,2017-07-07,,,Role-Playing,"Two virtual worlds collide as heroes from Accel World and Sword Art Online unite to face a mysterious threat. Players dive into fast-paced combat combining sword skills and acceleration abilities, exploring dungeons and battling powerful enemies. The game features characters from both anime series, offering fan-service moments and original storylines. Customize your party, master combo attacks, and uncover the secrets behind the merging of these digital realms in this action-packed crossover RPG adventure.",https://images.launchbox-app.com/9f7ee30c-02ab-4b77-ab78-b9035bd2afaf.jpg,PCSB01101
Accel World vs. Sword Art Online,2017-07-07,,,Role-Playing,"Two virtual worlds collide as heroes from Accel World and Sword Art Online unite to face a mysterious threat. Players dive into fast-paced combat combining sword skills and acceleration abilities, exploring dungeons and battling powerful enemies. The game features characters from both anime series, offering fan-service moments and original storylines. Customize your party, master combo attacks, and uncover the secrets behind the merging of these digital realms in this action-packed crossover RPG adventure.",https://images.launchbox-app.com/9f7ee30c-02ab-4b77-ab78-b9035bd2afaf.jpg,PCSE01071
Accel World vs. Sword Art Online,2017-07-07,,,Role-Playing,"Two virtual worlds collide as heroes from Accel World and Sword Art Online unite to face a mysterious threat. Players dive into fast-paced combat combining sword skills and acceleration abilities, exploring dungeons and battling powerful enemies. The game features characters from both anime series, offering fan-service moments and original storylines. Customize your party, master combo attacks, and uncover the secrets behind the merging of these digital realms in this action-packed crossover RPG adventure.",https://images.launchbox-app.com/9f7ee30c-02ab-4b77-ab78-b9035bd2afaf.jpg,PCSG01016
Access Denied,,,,,,https://images.launchbox-app.com/3d87c4e7-ccdf-4df7-9770-3813f7b87008.png,PCSB01315
Access Denied,,,,,,https://images.launchbox-app.com/3d87c4e7-ccdf-4df7-9770-3813f7b87008.png,PCSE01356
Active Neurons,2019-02-20,,,Puzzle,"Active Neurons is a minimalist puzzle game that challenges players to navigate through increasingly complex logic puzzles. Each level presents a grid-based challenge where you must illuminate all neurons by moving in straight lines until hitting an obstacle. The game features clean, abstract visuals and over 100 levels that progressively introduce new mechanics and obstacles. Success requires careful planning and spatial reasoning as you work to find the single solution path through each brain-teasing puzzle. Perfect for fans of pure logic challenges.",https://images.launchbox-app.com/0b534511-16dc-4eb6-9a26-8d649329dadd.png,PCSB01412
Active Neurons,2019-02-20,,,Puzzle,"Active Neurons is a minimalist puzzle game that challenges players to navigate through increasingly complex logic puzzles. Each level presents a grid-based challenge where you must illuminate all neurons by moving in straight lines until hitting an obstacle. The game features clean, abstract visuals and over 100 levels that progressively introduce new mechanics and obstacles. Success requires careful planning and spatial reasoning as you work to find the single solution path through each brain-teasing puzzle. Perfect for fans of pure logic challenges.",https://images.launchbox-app.com/0b534511-16dc-4eb6-9a26-8d649329dadd.png,PCSE01448
Active Soccer 2 DX,,,53,Sports,,https://images.launchbox-app.com/8e2bb0b3-b983-4aea-a2b9-4c847151a09f.png,PCSB01008
Actual Sunlight,2014-06-10,,75,Role-Playing,"Actual Sunlight is a narrative-driven RPG that explores themes of depression, isolation, and modern life through the eyes of Evan Winter, a Toronto-based man struggling with his existence. Players navigate Evan's daily routine, experiencing his thoughts and interactions as the story unfolds. The game presents a deeply personal and unflinching examination of mental health, corporate culture, and the search for meaning. Through its stark writing and minimalist presentation, it tells an emotionally raw story about contemporary urban life and the human condition.",https://images.launchbox-app.com/b61c6859-6d39-41ce-9ac8-4ea1a8c4950b.png,PCSB00858
Actual Sunlight,2014-06-10,,75,Role-Playing,"Actual Sunlight is a narrative-driven RPG that explores themes of depression, isolation, and modern life through the eyes of Evan Winter, a Toronto-based man struggling with his existence. Players navigate Evan's daily routine, experiencing his thoughts and interactions as the story unfolds. The game presents a deeply personal and unflinching examination of mental health, corporate culture, and the search for meaning. Through its stark writing and minimalist presentation, it tells an emotionally raw story about contemporary urban life and the human condition.",https://images.launchbox-app.com/b61c6859-6d39-41ce-9ac8-4ea1a8c4950b.png,PCSE00695
AC® Chronicles,2016-04-05,,68,"Action, Platformer","Assassin's Creed Chronicles brings the franchise's stealth-action gameplay to 2.5D. This trilogy collection spans three distinct settings across history. Players control different Assassins as they navigate side-scrolling environments filled with guards, traps, and secrets. The game emphasizes stealth over combat, rewarding players for remaining undetected while using parkour, environmental kills, and classic Assassin tools. Each chronicle features unique art styles inspired by its cultural setting, from Chinese ink paintings to Indian vibrant colors and Russian propaganda posters.",,PCSB00792
AC® Chronicles,2016-04-05,,68,"Action, Platformer","Assassin's Creed Chronicles brings the franchise's stealth-action gameplay to 2.5D. This trilogy collection spans three distinct settings across history. Players control different Assassins as they navigate side-scrolling environments filled with guards, traps, and secrets. The game emphasizes stealth over combat, rewarding players for remaining undetected while using parkour, environmental kills, and classic Assassin tools. Each chronicle features unique art styles inspired by its cultural setting, from Chinese ink paintings to Indian vibrant colors and Russian propaganda posters.",,PCSE00700
AC® Chronicles,2016-04-05,,68,"Action, Platformer","Assassin's Creed Chronicles brings the franchise's stealth-action gameplay to 2.5D. This trilogy collection spans three distinct settings across history. Players control different Assassins as they navigate side-scrolling environments filled with guards, traps, and secrets. The game emphasizes stealth over combat, rewarding players for remaining undetected while using parkour, environmental kills, and classic Assassin tools. Each chronicle features unique art styles inspired by its cultural setting, from Chinese ink paintings to Indian vibrant colors and Russian propaganda posters.",,PCSG00655
Adventure Time: the Secret of the Nameless Kingdom,2014-11-21,,65,"Action, Adventure","Players join Finn and Jake on a quest through the Land of Ooo to discover the secret of the Nameless Kingdom. This top-down action-adventure game features puzzle-solving, combat, and exploration across multiple kingdoms. Players must uncover ancient mysteries, defeat enemies, and navigate dungeons while interacting with familiar characters from the beloved animated series in a story filled with humor and adventure.",https://images.launchbox-app.com/9f3821e1-6069-4621-b8a5-1939f518066c.png,PCSE00582
Adventures of Mana,2016-02-04,,68,Role-Playing,"Adventures of Mana is a full 3D remake of the 1991 Game Boy classic Final Fantasy Adventure. Players follow a young hero who escapes slavery to embark on a quest to protect the mystical Tree of Mana from the Dark Lord of Glaive. The game features real-time combat, puzzle-solving, and exploration across diverse environments. Players collect weapons, magic spells, and items while battling monsters and uncovering the secrets of the Mana world. The remake includes updated graphics, a new soundtrack, and modernized gameplay while maintaining the charm of the original adventure that launched the beloved Mana series.",https://images.launchbox-app.com/e7b15827-233e-4322-a270-80403671af60.png,PCSB00975
Adventures of Mana,2016-02-04,,68,Role-Playing,"Adventures of Mana is a full 3D remake of the 1991 Game Boy classic Final Fantasy Adventure. Players follow a young hero who escapes slavery to embark on a quest to protect the mystical Tree of Mana from the Dark Lord of Glaive. The game features real-time combat, puzzle-solving, and exploration across diverse environments. Players collect weapons, magic spells, and items while battling monsters and uncovering the secrets of the Mana world. The remake includes updated graphics, a new soundtrack, and modernized gameplay while maintaining the charm of the original adventure that launched the beloved Mana series.",https://images.launchbox-app.com/e7b15827-233e-4322-a270-80403671af60.png,PCSE00905
Aegis of Earth Demo,,,,,,,PCSG90182
Aegis of Earth: Protonovus Assault,2016-04-12,,57,"Strategy, Tower Defense","Players command a city-sized weapon called Aegis to defend humanity's last stronghold against massive kaiju-like creatures. This tower defense strategy game blends real-time base rotation mechanics with resource management as you position defensive units around a circular city grid. Between battles, develop relationships with operators, upgrade facilities, and research new technologies to strengthen your defenses against increasingly powerful Protonovus assaults threatening Earth's survival.",https://images.launchbox-app.com/1b56f44b-c205-4cdb-8750-866321828a3b.jpg,PCSB00937
Aegis of Earth: Protonovus Assault,2016-04-12,,57,"Strategy, Tower Defense","Players command a city-sized weapon called Aegis to defend humanity's last stronghold against massive kaiju-like creatures. This tower defense strategy game blends real-time base rotation mechanics with resource management as you position defensive units around a circular city grid. Between battles, develop relationships with operators, upgrade facilities, and research new technologies to strengthen your defenses against increasingly powerful Protonovus assaults threatening Earth's survival.",https://images.launchbox-app.com/1b56f44b-c205-4cdb-8750-866321828a3b.jpg,PCSE00844
Aegis of Earth: Protonovus Assault,2016-04-12,,57,"Strategy, Tower Defense","Players command a city-sized weapon called Aegis to defend humanity's last stronghold against massive kaiju-like creatures. This tower defense strategy game blends real-time base rotation mechanics with resource management as you position defensive units around a circular city grid. Between battles, develop relationships with operators, upgrade facilities, and research new technologies to strengthen your defenses against increasingly powerful Protonovus assaults threatening Earth's survival.",https://images.launchbox-app.com/1b56f44b-c205-4cdb-8750-866321828a3b.jpg,PCSG00362
Aerial Life,,,,,,,PCSG01296
AeternoBlade,2013-10-31,,59,"Action, Platformer","AeternoBlade combines fast-paced action with time manipulation mechanics in a side-scrolling adventure. Players wield the legendary AeternoBlade, a sword that grants the power to control time, allowing them to rewind events, create time loops, and solve intricate puzzles. As Freyja seeks revenge against the forces that destroyed her village, she must master the blade's temporal abilities to defeat enemies and navigate through challenging platforming sequences. The game features combo-based combat, skill upgrades, and environmental puzzles that require clever use of time-bending powers.",https://images.launchbox-app.com/4f43f6d5-0331-4c54-a001-4895f35cd562.png,PCSB00324
AeternoBlade,2013-10-31,,59,"Action, Platformer","AeternoBlade combines fast-paced action with time manipulation mechanics in a side-scrolling adventure. Players wield the legendary AeternoBlade, a sword that grants the power to control time, allowing them to rewind events, create time loops, and solve intricate puzzles. As Freyja seeks revenge against the forces that destroyed her village, she must master the blade's temporal abilities to defeat enemies and navigate through challenging platforming sequences. The game features combo-based combat, skill upgrades, and environmental puzzles that require clever use of time-bending powers.",https://images.launchbox-app.com/4f43f6d5-0331-4c54-a001-4895f35cd562.png,PCSE00628
