title,release,gf_score,metascore,genre,description,cover_art_url
Tetris,,4.06,,Puzzle,"Tetris is a tile-matching puzzle video game originally designed and programmed by Soviet Russian game designer Alexey Leonidovich Pajitnov. The first playable version was completed on June 6, 1984, while he was working for the Dorodnitsyn Computing Centre of the Academy of Science of the Soviet Union in Moscow. He derived its name from the Greek numerical prefix tetra- (all of the game's pieces contain four segments) and tennis, Pajitnov's favorite sport. The name is also used in-game to refer to the play where four lines (the maximum simultaneous clearance number) are cleared at once.",https://i.postimg.cc/Dw82Y8RQ/38e6fc38-d8de-49d4-9873-57ee25f28b57.jpg
Ninja Gaiden II: The Dark Sword of Chaos,,4.05,,Action,"Ninja Gaiden II: The Dark Sword of Chaos, known in Europe as Shadow Warriors II: The Dark Sword of Chaos, is a side-scrolling platforming video game developed and published by Tecmo for the Nintendo Entertainment System (NES). This is the second installment in the Ninja Gaiden trilogy for the NES and was released in North America and Japan in 1990, and in Europe in 1994.",https://i.postimg.cc/4yxC70gv/9bc8060b-9c93-4b93-8d16-7b03b71d5b3c.jpg
Super C,,4.04,,Action,"Super Contra, known as Super Contra: The Alien Strikes Back in Japan, is a run and gun video game by Konami originally released as a coin-operated arcade game in 1988. It was ported to the Nintendo Entertainment System under the shortened title of Super C in North America and as Probotector II: Return of the Evil Forces in PAL region. It is the sequel to the original Contra and part of the Contra series. The game stars Bill Rizer and Lance Bean, as they are sent to thwart another alien invasion. Both the arcade version and the NES version have been re-released in various other platforms since their original releases.",https://i.postimg.cc/5tdZqyJ2/af1cd7ee-6f77-4eea-9917-78d167dcb207.jpg
Super Mario Bros. / Duck Hunt / World Class Track Meet,,4.04,,Miscellaneous,"Super Mario Bros. / Duck Hunt / World Class Track Meet is a video game released for the Nintendo Entertainment System in 1990 created by Nintendo. It was distributed in packages with an NES, a Zapper Light Gun, and a Power Pad.",https://i.postimg.cc/vBXksvV4/eade4588-aeee-42c8-a83c-cd57d774729e.jpg
Little Samson,,4.03,,Action,"Little Samson, known in Japan as Seirei Densetsu Lickle, is a 1992 action platformer video game developed by Takeru and published by Taito Corporation for the Nintendo Entertainment System.",https://i.postimg.cc/VvdGcPwh/d98c1af2-b9d7-4085-b0b0-93638b52e5cb.jpg
Teenage Mutant Ninja Turtles III: The Manhattan Project,,4.02,,Action,"Teenage Mutant Ninja Turtles III: The Manhattan Project is a side-scrolling beat-'em-up released by Konami for the Nintendo Entertainment System(Family Computer) in Japan in 1991 and for the Nintendo Entertainment System in North America in 1992. It is the third video game iteration of the Teenage Mutant Ninja Turtles for the NES. The game features play mechanics similar to the previous game, Teenage Mutant Ninja Turtles II: The Arcade Game, but it is an original title for the NES without any preceding arcade version.",https://i.postimg.cc/t4hrb509/75b300d1-65db-440f-8e47-6310bec2b771.jpg
Mr. Gimmick,,4.01,,Action,"Gimmick!, known outside Japan as Mr. Gimmick, is a platform video game developed and published by Sunsoft, and originally released in Japan for the Family Computer on 31 January 1992. The story follows a small green character named Yumetaro who was given to a young girl as a birthday present. One night, the girl's other toys become jealous of the attention he is receiving, and whisk the girl away to another dimension. Playing as Yumetaro, the player must maneuver through a variety of levels, using the protagonist's star-shooting power to defeat enemies and progress through the game.",https://i.postimg.cc/FFYX42Tm/7202b77f-159b-48ce-9bb9-7cff11d60e40.jpg
Punch-Out!!,,3.99,,Sports,"Punch-Out!! is a series of boxing video games created by Nintendo's general manager Genyo Takeda, and his partner Makoto Wada. It started in the arcade simply as Punch-Out!!, which was followed by a sequel Super Punch-Out!!. It has since spanned home consoles, including the Famicom and NES Punch-Out!! / Mike Tyson's Punch-Out!!, an SNES and Super Famicom sequel Super Punch-Out!!, and a Wiisequel Punch-Out!!.",https://i.postimg.cc/Kz4wmMrQ/83909758-cb93-4830-8bcb-eaffe1679755.jpg
Shatterhand,,3.98,,Action,Shatterhand is a side-scrolling action game for the Nintendo Entertainment System developed by Natsume and published by Jaleco in North America in 1991 and in Europe in 1992. Shatterhand was originally released by Angel (Bandai) in Japan in 1991 as a licensed game for the Family Computer based on the live-action superhero series Super Rescue Solbrain.,https://i.postimg.cc/59YTG8t2/d0c8065c-5378-4478-8984-bee5aedd6121.jpg
Disney's DuckTales,,3.98,,Action,DuckTales is an action platformer video game developed and published by Capcom and based on the Disney animated TV series of the same name. It was first released in North America for the Nintendo Entertainment System in 1989 and was later ported to the Game Boy in 1990. The story involves Scrooge McDuck traveling around the globe collecting treasure and outwitting his rival Flintheart Glomgold to become the world's richest duck.,https://i.postimg.cc/66nznc3n/4d4fec42-6de0-472d-b909-5fc67001d936.jpg
Ninja Gaiden,,3.97,,Action,"Ninja Gaiden, released in Japan as Ninja Ryūkenden and as Shadow Warriors in Europe, is a side-scrolling cinematic action-platforming video game. Tecmo developed and published it for the Nintendo Entertainment System(NES); its development and release coincided with the beat 'em up arcade version of the same name. It was released in December 1988 in Japan, in March 1989 in North America, and in August 1991 in Europe. It has been ported to several other platforms, including the PC Engine, the Super NES, and mobile phones.",https://i.postimg.cc/KYCrg3h0/1f9e7bad-5692-49b8-a438-232abe866541.jpg
Mega Man 4,,3.96,,Action,"Mega Man 4 is an action-platform game developed by Capcom for the Nintendo Entertainment System. It is the fourth game in the original Mega Man series and was originally released in Japan in 1991. The game was localized in North America the following January, and in Europe in 1993. The game's story takes place after the third defeat and supposed death of Dr. Wily, and features the Earth coming under threat from a mysterious scientist named Dr. Cossack and his eight ""Robot Masters"". Fearing the worst, Dr. Light sends Mega Man to save the world once again.",https://i.postimg.cc/y8dFQyVf/c0eb49e6-689a-4ae9-a4de-ea27872cc02d.jpg
Maniac Mansion,,3.96,,Adventure,"Maniac Mansion is a 1987 graphic adventure video game developed and published by Lucasfilm Games. It follows teenage protagonist Dave Miller as he attempts to rescue his girlfriend from a mad scientist, whose mind has been enslaved by a sentient meteor. The player uses a point-and-click interface to guide Dave and two of his six playable friends through the scientist's mansion while solving puzzles and avoiding dangers. Gameplay is non-linear, and the game must be completed in different ways based on the player's choice of characters. Initially released for the Commodore 64 and Apple II, Maniac Mansion was Lucasfilm Games' first self-publishedproduct.",https://i.postimg.cc/Kv998zjH/a43d632f-730d-407e-be7d-fc80c98804a7.jpg
Captain Tsubasa II: Super Striker,,3.94,,Sports,"Captain Tsubasa Volume II: Super Striker is a continuation of the ""Cinematic Soccer"" series of games started on the Famicom. Released in 1990 by Tecmo this game is fairly similar to its predecessor but with some slight graphical improvements. It was also the last Tsubasa game to be released on the Family Computer with the series moving to the Super Famicom two years later.",https://i.postimg.cc/VLcS0BrS/9d16ebcb-72e7-4199-8930-fc3907634713.png
Final Fantasy,,3.94,,Role-Playing,"Final Fantasy is a Japanese science fantasy media franchise created by Hironobu Sakaguchi, and developed and owned by Square Enix (formerly Square). The franchise centers on a series of fantasy and science fantasy role-playing video games(RPGs/JRPGs). The first game in the series was released in 1987, with 14 other main-numbered entries being released since then.",https://i.postimg.cc/L5Vm1Pwf/d62e9676-7e38-42d9-b59d-d84668ba5c1c.jpg
Tetris (Tengen),,3.93,,Puzzle,"Tetris (styled TETЯIS) is a puzzle game developed by Atari Games and originally released for arcades in 1988. Based on Alexey Pajitnov's Tetris, Atari's version features the same gameplay as the computer editions of the game, as players must stack differently shaped falling blocks to form and eliminate horizontal lines from the playing field. The game features several difficulty levels and two-player simultaneous play.",https://i.postimg.cc/pLSRzRG0/9dcf0a49-e4b7-4645-9830-1fc91404764b.jpg
Blaster Master,,3.92,,Action,"Blaster Master is a platform and run and gun video game released by Sunsoft for the Nintendo Entertainment System. It is a localized version of a Japanese Famicom game titled Cho Wakusei Senki Metafight, which was released on June 17, 1988. The game was released in North America in November 1988 and in Europe on April 25, 1991. The game is the first in the Blaster Master series, and it spawned two spin-off titles as well as two sequels.",https://i.postimg.cc/C1gys1j4/c2093be0-a2e5-446b-a614-37cb92af043d.jpg
Super Dodge Ball,,3.92,,Sports,"Super Dodge Ball is a dodgeball-based sports game produced by Technos Japan Corp. that was released for the Nintendo Entertainment System in 1989. It is loosely based on the 1987 arcade game of the same name, which was also developed by Technos. Like its arcade counterpart, it was released in Japan as part of the Kunio-kun series.",https://i.postimg.cc/qRLFcGBk/c7a27caf-dfeb-4455-8a24-e5dbacf1d2ce.jpg
Crash 'n the Boys: Ice Challenge,,3.92,,Sports,"Crash 'n' the Boys: Street Challenge, released in Japan as Bikkuri Nekketsu Shin Kiroku! Harukanaru Kin Medal is a 1992 sports game for the NES by Technos Japan Corp. A Game Boy version of the game was also released in Japan only. The game featured Olympic style contests without rules or regulations, between five teams. The games included 400 metres hurdles, Hammer throw, Swimming, Roof Top Jumping, and Fighting Scene. It was re-released for the Wii Virtual Console on September 14, 2009 and later for the Nintendo 3DS on November 28, 2013 and for the Wii U on December 11, 2014.",https://i.postimg.cc/4NMS1yGh/Crash-N-the-Boys-Street-Challenge-NES-box-art.jpg
StarTropics,,3.92,,Action Adventure,"StarTropics is an action-adventure video game released by Nintendo in 1990 for the NES. Unlike most of Nintendo's games, it was never released or intended to be released in Japan. It was released only in North America and Europe. It was produced, written and directed by Genyo Takeda of Nintendo Integrated Research & Development (who also developed the Punch-Out!!series). StarTropics was followed by a sequel titled Zoda's Revenge: StarTropics II, released in 1994.",https://i.postimg.cc/x886vDFR/3cc9af66-c2a5-4d8f-b432-aca9009b4ad8.jpg
Baseball Stars,,3.91,,Sports,"Baseball Stars is a baseball video game developed by SNK. It was released first as a 2-player baseball arcade game and was later released for the NES in 1989. It became a major hit in many countries worldwide, particularly in the United States, Canada, and Puerto Rico.",https://i.postimg.cc/mD2j4WRs/0e5c5c2d-7482-4e62-8996-73dc47cef87e.jpg
Teenage Mutant Ninja Turtles II: The Arcade Game,,3.91,,Action,Teenage Mutant Ninja Turtles is a side-scrolling beat-'em-up released by Konami as a coin-operated video game in 1989. It is based on the first Teenage Mutant Ninja Turtles animated series which began airing in the winter of 1987. Home versions of the game were released for various platforms.,https://i.postimg.cc/qvsxCvvr/53b6e1e4-7b34-4e41-b98e-39e5f77390fc.png
Destiny of an Emperor,,3.91,,Role-Playing,"Destiny of an Emperor is a strategy role-playing game by Capcom for the Nintendo Entertainment System. It was originally released in Japan in 1989, with an English language localization released for the North American market in 1990. Destiny of an Emperor is based on Hiroshi Motomiya's manga, Tenchi wo Kurau, which follows the story of Chinese historical figure Liu Bei and his sworn brothers, Zhang Fei and Guan Yu. This story is loosely based upon the events in the 14th-century historical novel Romance of the Three Kingdoms, which itself was based on historical events and battles which occurred before and during the Three Kingdoms period of ancient China.",https://i.postimg.cc/J7SFNtMH/11ad40c3-187a-46d5-8381-5e735ed73dae.jpg
Kunio-Kun no Nekketsu Soccer League,,3.91,,Sports,Kunio-kun no Nekketsu Soccer League is the Famicom sequel to Soccer Hen.,https://i.postimg.cc/1XFJCcsn/333de11e-11a7-47c7-9c5e-93c5b1dd9ebc.png
U-four-ia: The Saga,,3.91,,Action,"Ufouria: The Saga, known in Japan as Hebereke, is a side scrolling action-adventure video game developed and published by Sunsoft for the Nintendo Entertainment System. It was released in Japan on September 20, 1991, in Europe on November 19, 1992 and in Australia in the same year. It is the first game in the Hebereke series with almost every ""sequel"" being a completely different style of game. Hebereke is the name of the Japanese version's title character, which is colloquial and roughly translates to 'drunk' or 'untrustworthy'.",https://i.postimg.cc/3Jgt2Btz/2ec79950-9067-410a-a0e0-bd267c900f3c.jpg
Getsu Fuuma Den,,3.91,,Action Adventure,"Getsu Fuuma Den is a side-scrolling action-adventure game for the Family Computer by Konami, released in 1987, and was available exclusively in Japan. While Getsu Fuuma Den never had a sequel, it has been referenced in many subsequent Konami titles throughout the years. The game is structurally similar to Castlevania II: Simon's Quest and The Goonies II.",https://i.postimg.cc/tR6kHkG7/6e6f6e70-373a-4b1f-83ab-a50af5d4e5cd.png
Fire'n Ice,,3.91,,Puzzle,"Fire 'n Ice is a puzzle game released by Tecmo for the Nintendo Entertainment System. It is the prequel to Solomon's Key, and is known as Solomon's Key 2 in Europe and Solomon no Kagi 2: Coolmintou Kyuushutsu Sakusen (Solomon's Key 2: Coolmint Rescue Mission) in Japan. The aim of the game involves players extinguishing all fires in a level in order to proceed. They do this by creating and melting ice or kicking ice onto the fires. This game also has a level editor (which may expose some bugs that substantially affect the game mechanics), but only the Japanese version permits saving the levels one creates.",https://i.postimg.cc/KvFPhy5s/Fire-N-Ice-NA.png
EarthBound Beginnings,,3.9,,Role-Playing,"EarthBound Beginnings is the first installment in the Mother series. It was developed by Ape Inc., Nintendo Tokyo R&D Products, and Pax Softnica, and was published by Nintendo for the Famicom on July 27, 1989.",https://i.postimg.cc/tRd65MHd/e5e11a65-595f-4b5c-8710-96a349d21ff0.png
Gun Nac,,3.9,,Action,"Gun-Nac is a 1990 scrolling shooter video game developed by Compile and published by Tonkin Housefor the Nintendo Entertainment System. The game was released in Japan on October 5, 1990 and in North America in September 1991.",https://i.postimg.cc/k43VNx1h/a7fb1ac6-30eb-4e9a-89bd-2066388b5b35.jpg
Castlevania,,3.9,,Action,"Castlevania is an action-adventure gothic horror video game series created and developed by Konami. It has been released on various platforms, from early systems to modern consoles, as well as handheld devices such as mobile phones. The franchise has also expanded into other media, including comic books, an animated TV series and several spin-off video games.",https://i.postimg.cc/htNhgLBP/6ddeb4ac-12d2-409e-a71b-367f71765c13.jpg
Pirates!,,3.89,,Strategy,"Pirates! is set in the Caribbean. The Pirates! playing field includes the Spanish Main (namely the northern coast of South America), Central America and the Yucatan Peninsula, the entire Gulf of Mexico, Florida, and all Caribbean islands, plus Bermuda. The player is free to sail to any part of the above-mentioned lands, stopped by an invisible barrier southeast of Trinidad, all the way north to just northeast of Bermuda.",https://i.postimg.cc/BQVncTtc/b975c614-be85-4af8-ab67-6850c3bee0b4.jpg
Disney's DuckTales 2,,3.86,,Action,"DuckTales 2 is a platform video game developed by Make Software and published by Capcom. It is a sequel to the original DuckTales based on the Disney animated series of the same name. It was released on the Nintendo Entertainment System in early 1993, 3 years after the series was ended. The title was ported to the Game Boy handheld system in Japan and North America at the end of the year.",https://i.postimg.cc/d16q7dzC/630e6f35-541b-4202-a478-9afd8db55893.jpg
Mega Man 6,,3.86,,Action,"Mega Man 6 is an action video game developed by Capcom for the Nintendo Entertainment System (NES). It is the sixth installment in the original Mega Man series and was originally released in Japan on November 5, 1993 and in North America the following March. It was included in the Mega Man Anniversary Collection released in 2004. Its first PAL region release was June 11, 2013 for the 3DS Virtual Console, nearly twenty years after the game's first release.",https://i.postimg.cc/4NqXhXFW/22e78c34-403c-48b3-8554-a986bb9d6110.jpg
Double Dragon II: The Revenge,,3.86,,Action,"Double Dragon II: The Revenge is a side-scrolling beat-'em-upproduced for the Nintendo Entertainment System in the end of 1989. It is the second Double Dragon game for the NES and was published in North America by Acclaim Entertainment, who took over publishing duties from Tradewest. The game shares its title with the 1988 arcade sequel to the original Double Dragon, using the same promotional artwork for its packaging and having a similar plot, but the content of the two games are otherwise drastically different.",https://i.postimg.cc/0Q2TB4B6/195755ed-5502-44e3-aca7-7a25fce1d838.jpg
Super Mario Bros. / Tetris / Nintendo World Cup,,3.85,,Miscellaneous,"Super Mario Bros. / Tetris / Nintendo World Cup is a Miscellaneous game, developed and published by Nintendo, which was released in Europe in 1988. It is highly uncommon outside the PAL-region, although it is not valuable amongst collectors. This cartridge is exotic to North American gamers and not more worth than a few bucks for Europeans.",https://i.postimg.cc/RVKvfk59/3e96d3e4-5966-4d75-8d3a-7a4719ea4dd5.png
Life Force,,3.85,,Action,"Salamander in North America and in the Japanese arcade re-release, in Europe known as Life Force: Salamander, is a scrolling shooter arcade game by Konami. Released in 1986 as a spin-off of Gradius, Salamander introduced a simplified power-up system, two-player cooperative gameplay and both horizontally and vertically scrolling stages. Some of these later became the norm for future Gradius games.",https://i.postimg.cc/XJRTYvv5/80690710-63c2-4de9-b7ec-404b038f22a2.jpg
Mega Man 5,,3.85,,Action,"Mega Man 5 is an action-platform video game developed by Capcom for the Nintendo Entertainment System. It is the fifth game in the original Mega Man series and was released in Japan on December 4, 1992. It saw a release during the same month in North America and in 1993 in Europe.",https://i.postimg.cc/26Qxnjwh/4fcb476f-3618-41cd-bf5d-c5b030e536b0.jpg
Radia Senki: Reimeihen,,3.85,,Role-Playing,"Radia Senki: Reimmeihen is an Action RPG for the Nintendo Family Computer created by Tecmo, and released in Japan on November 15, 1991. Though an English release was at one point planned, it was never released outside Japan, with only a prototype ever made. There is a fan translation patch available for this game which allows the game to be played in English.",https://i.postimg.cc/cJY7N1P2/radia-war.png
Final Fantasy I & II,,3.84,,Miscellaneous,"Final Fantasy I & II is a compilation of two Final Fantasy games for the Nintendo Famicom: Final Fantasy and Final Fantasy II. Both games had originally been released for the Family Computer, and very few changes were rendered from the original releases: a typographical error was corrected in Final Fantasy and two monster designs were subtly altered in Final Fantasy II. The first game basically borrows almost all of the graphical changes made to the English version (most notably the monsters ""Beholder"" and ""Medusa"", which use the altered sprite in subsequent remakes).",https://i.postimg.cc/5NR8YFVD/FF1-2-Famicom-boxart.jpg
Bubble Bobble,,3.84,,Action,"Bubble Bobble is a platform game by Taito, first released in arcades in 1986 and later ported to home systems. The game, starring the twin Bubble Dragons Bub and Bob, tasks players with travelling through one hundred stages, blowing and bursting bubbles, jumping on and off blown bubbles to navigate level obstacles, dodging and eliminating enemies, and collecting a variety of items including some that carry power-ups and significant bonuses. For example, the red shoe allows Bub and Bob to move faster, while wrapped candies cause Bub and Bob to blow bubbles faster, and blow bubbles at greater distances.",https://i.postimg.cc/3wH4mXbf/c7d1afca-1012-445f-9b96-e5f70ad795e7.jpg
Metroid,,3.84,58,Action Adventure,"Metroid is an action-adventure game developed and published by Nintendo. The first installment in the Metroid series, it was originally released in Japan for the Family Computer Disk System peripheral in August 1986. North America received a release in August 1987 on the Nintendo Entertainment System in a ROM cartridge format, with the European release following in January 1988. Set on the planet Zebes, the story follows Samus Aran as she attempts to retrieve the parasitic Metroid organisms that were stolen by Space Pirates, who plan to replicate the Metroids by exposing them to beta rays and then use them as biological weapons to destroy Samus and all who oppose them.",https://i.postimg.cc/MX2xNDBh/2e885701-3972-483a-b06f-35952ab570fd.jpg
Metal Storm,,3.84,,Action,"Metal Storm is an action-platform video game developed by Tamtex and published by Irem for the Nintendo Entertainment System. The story takes place in 2501, when a laser weapon at a defense outpost on Pluto has malfunctioned and begun destroying the Solar System. The player takes on the role of the M-308 Gunner, which storms into the defense base in order to activate the self-destruct system before the laser gun destroys Earth. The M-308 is equipped with a gravity control device which allows the player to flip between the floor and ceiling, a main feature of the game. Metal Storm received positive reviews from gaming publications.",https://i.postimg.cc/5tRtp8PM/63eee835-0c5a-4978-b681-7d98f9ca81ee.jpg
Bionic Commando,,3.84,,Action,"Bionic Commando is a video game franchise consisting of an original arcade game released in 1987, and several later versions and sequels.",https://i.postimg.cc/KjyxsfBC/506c13ac-a8f2-42af-8ecb-57b0ff74a429.jpg
Jackal,,3.83,,Action,"Jackal, also distributed under the title of Top Gunner, is an overhead run'n gun-style shoot-'em-up video game by Konami released for the arcades in 1986. The player must maneuver an armed jeep in order to rescue prisoners of war (POWs) trapped in enemy territory.",https://i.postimg.cc/pLdx7p5V/93ca17a0-65dd-4bde-bf73-1404c68c8c76.jpg
Vice: Project Doom,,3.82,,Action,"Vice: Project Doom, known in Japan as Gun-Dec, is a multi-genre action video game developed by Aicom and published by Sammy for the Nintendo Entertainment System. The game was released in Japan on April 26, 1991 and in North America on November 15, 1991. Vice: Project Doom is a side-scrolling platformer with noticeable similarities to the Ninja Gaiden series for the NES, with the addition of gun shooting and driving segments as well. The player assumes the role of a secret agent who must uncover a conspiracy involving a new kind of alien substance.",https://i.postimg.cc/fT8QxD2G/47df78e9-87e4-4386-8ae1-422538729827.jpg
