title,released,gf_score,metascore,genre,description,cover_art_url
Golden Sun,2001-11-11,4.29,91,Role-Playing,"Golden Sun is a 2001 Japanese role-playing video game developed by Camelot Software Planning and published by Nintendo. It was released in August 2001 for Nintendo's Game Boy Advance, and became the first installment in the Golden Sun series. The game is notable for certain distinctive game elements, such as the use of special Djinn that empower the player and can be used against enemies.",https://i.postimg.cc/7LbYPbNz/df137333-a4b6-4f60-b77f-62d86fc3cd3a.jpg
Super Mario Advance 4: Super Mario Bros. 3,2003-10-21,4.29,94,Action,"Super Mario Advance 4: Super Mario Bros 3 is a platform video game developed and published by Nintendo for the Game Boy Advance handheld game console. It was released in Japan, and later released in Europe, North America, and Australia. It is an enhanced remake of the Nintendo Entertainment System video game Super Mario Bros. 3, and is based on the remake found in Super Mario All-Stars for the Super NES.",https://i.postimg.cc/VkZmhmck/68d88abc-1f33-468b-baa6-7b470b4fbe96.jpg
Mega Man Battle Network 3: Blue Version,2003-06-24,4.28,,Role-Playing,"Mega Man Battle Network 3 is a video game developed by Capcom for the Game Boy Advance (GBA) handheld game console. It is the third game in the Mega Man Battle Network series, released in 2002 in Japan and 2003 in North America. While in North America and Europe, two complementary versions of the game - Blue and White - exist, marketed simultaneously, this was not the case in Japan. The game was released in a single version in this region, while a Black version containing bug fixes, new areas, optional bosses, and other improvements, was released some months after the original. It was released on the Wii U's Virtual Console in Japan on December 17, 2014 and in North America on May 14, 2015.",https://i.postimg.cc/bYRXMpxf/10253f68-5ad6-49b2-8dfd-4dbfe716e437.jpg
Mega Man Battle Network 6: Cybeast Gregar,2006-06-13,4.27,62,Role-Playing,"Mega Man Battle Network 6 is a video game developed by Capcom for the Game Boy Advance (GBA) handheld game console. As with the previous three games, the Japanese edition was released in two separate versions: Cybeast Gregar and Cybeast Falzar. Later, Japan re-released these games in combo packs with a special colored version of the ""Battle Chip Gate"", or ""Beast Link Gate"". This special combo pack was called the Rockman EXE 6 Beast Link Gate DX Edition and contained a special Blue ""Netto"" version of the Beast Link Gate and one of the games' two versions.",https://i.postimg.cc/RhWccM9J/a3c60204-47ec-4e7e-9ede-991ae2a7a914.jpg
Mega Man Battle Network 3: White Version,2003-06-24,4.27,77,Role-Playing,"Mega Man Battle Network 3 is a video game developed by Capcom for the Game Boy Advance (GBA) handheld game console. It is the third game in the Mega Man Battle Network series, released in 2002 in Japan and 2003 in North America. While in North America and Europe, two complementary versions of the game - Blue and White - exist, marketed simultaneously, this was not the case in Japan. The game was released in a single version in this region, while a Black version containing bug fixes, new areas, optional bosses, and other improvements, was released some months after the original. It was released on the Wii U's Virtual Console in Japan on December 17, 2014 and in North America on May 14, 2015.",https://i.postimg.cc/7Lq0K1wk/35bcc0b2-c700-43c3-b02c-d63e9949e7a9.jpg
Mega Man Battle Network 6: Cybeast Falzar,2006-06-13,4.26,63,Role-Playing,"Mega Man Battle Network 6 is a video game developed by Capcom for the Game Boy Advance (GBA) handheld game console. As with the previous three games, the Japanese edition was released in two separate versions: Cybeast Gregar and Cybeast Falzar. Later, Japan re-released these games in combo packs with a special colored version of the ""Battle Chip Gate"", or ""Beast Link Gate"". This special combo pack was called the Rockman EXE 6 Beast Link Gate DX Edition and contained a special Blue ""Netto"" version of the Beast Link Gate and one of the games' two versions.",https://i.postimg.cc/kMLjfHZP/5e27b761-2708-40ce-94eb-019086b5ad7d.jpg
Mario & Luigi: Superstar Saga,2003-11-17,4.23,90,Role-Playing,"Mario & Luigi: Superstar Saga is a role-playing video game developed by Alpha Dream and published by Nintendo for the Game Boy Advance in 2003. The game is the first in the Mario & Luigi RPG series. The game was later re-released for the Wii U Virtual Console on the Nintendo eShop in 2014, and remade for the Nintendo 3DS as Mario & Luigi: Superstar Saga + Bowser's Minions in 2017.",https://i.postimg.cc/prjJw27b/4a036083-b5c7-4d0e-8d33-d45a567f34b7.png
Metroid Fusion,2002-11-17,4.23,92,Action Adventure,"Metroid Fusion is an action-adventure game video game published by Nintendo for the Game Boy Advance handheld game console in 2002. The fourth installment in the Metroid series, it was developed by Nintendo Research & Development 1, which previously developed the 1994 game Super Metroid. Players control bounty hunter Samus Aran, who investigates a space station swarming with organisms infected with virions known as X parasites.",https://i.postimg.cc/yNrhWgCC/c0cfa5ca-0b5a-40e8-a94c-42ff9741e312.png
Yoshi's Island: Super Mario Advance 3,2002-09-24,4.22,91,Action,"Super Mario World 2: Yoshi's Island is a 1995 platform game developed and published by Nintendo for the Super Nintendo Entertainment System. To reunite baby brothers Mario and Luigi, who has been kidnapped by Kamek, the player controls Yoshi, a friendly dinosaur, through 48 levels while carrying Baby Mario. As a Super Mario series platformer, Yoshi runs and jumps to reach the end of the level while solving puzzles and collecting items. In a style new to the series, the game has a hand-drawn aesthetic and is the first to have Yoshi as its main character. The game introduces his signature abilities to flutter jump and produce eggs from swallowed enemies.",https://i.postimg.cc/HnWTKxjj/57221963-5170-41af-9b44-b9f06a1d8b75.png
Pokemon FireRed Version,2004-09-07,4.21,81,Role-Playing,"Pokemon FireRed Version and LeafGreen Version are enhanced remakes of the 1996 video games Pokemon Red and Blue. The new titles were developed by Game Freak, published by The Pokemon Company and Nintendo for the Game Boy Advance and have compatibility with the Game Boy Advance Wireless Adapter, which originally came bundled with the games. FireRed and LeafGreen were first released in Japan in January 2004 and released in North America and Europe in September and October respectively. Nearly two years after their original release, Nintendo re-marketed them as Player's Choice titles. The two games hold the distinction of being the first enhanced remakes of previous games within the franchise.",https://i.postimg.cc/L6npZGPd/6cb6058b-0215-47cf-9691-af3e78ce23a6.jpg
Harvest Moon: Friends of Mineral Town,2003-11-17,4.2,81,Strategy,"Harvest Moon: Friends of Mineral Town is a video game for the Game Boy Advance, developed by Marvelous Interactive Inc.. It was first released in Japan in April 2003, in North America in November 2003, and in Europe in March 2004. Many critics praised it as the best entry of the series, combining elements from the best-selling console entries and introducing many notable series staples. It was later released on the Virtual Console for the Wii U in June 2015.",https://i.postimg.cc/YCdDfSBb/4d95320b-e39f-48bf-9547-13c2b2500aca.png
Advance Wars 2: Black Hole Rising,2003-06-24,4.2,89,Strategy,"Advance Wars 2: Black Hole Rising is a turn-based tactics video game for the Game Boy Advance. It was developed by Intelligent Systems and published by Nintendo in 2003. It is the second game in the Advance Wars sub-series of Nintendo Wars, preceded by Advance Wars and followed by Advance Wars: Dual Strike.",https://i.postimg.cc/Y0BdqGQq/b0e43e39-64b6-41e4-b6a4-e847454d377f.jpg
Pokemon LeafGreen Version,2004-09-07,4.2,81,Role-Playing,"Pokemon FireRed Version and LeafGreen Version are enhanced remakes of the 1996 video games Pokemon Red and Blue. The new titles were developed by Game Freak, published by The Pokemon Company and Nintendo for the Game Boy Advance and have compatibility with the Game Boy Advance Wireless Adapter, which originally came bundled with the games. FireRed and LeafGreen were first released in Japan in January 2004 and released in North America and Europe in September and October respectively. Nearly two years after their original release, Nintendo re-marketed them as Player's Choice titles. The two games hold the distinction of being the first enhanced remakes of previous games within the franchise.",https://i.postimg.cc/g06yXczw/f37fd067-14cf-4ca4-8a83-5cc4f0a04c59.jpg
The Legend of Zelda: The Minish Cap,2005-01-10,4.2,89,Action Adventure,"The Legend of Zelda: The Minish Cap is an action-adventure game and the twelfth entry in The Legend of Zelda series. Developed by Capcom and Flagship, with Nintendo overseeing the development process, it was released for the Game Boy Advance handheld game console in Japan and Europe in 2004 and in North America and Australia the following year. In June 2014, it was made available on the Wii U Virtual Console.",https://i.postimg.cc/hGxx4CsT/35a3d0f0-461d-4ee0-8afa-df5d1b753a99.jpg
Harvest Moon: More Friends of Mineral Town,2005-07-26,4.19,82,Strategy,Harvest Moon: More Friends Of Mineral Town is the female version of Harvest Moon: Friends of Mineral Town.,https://i.postimg.cc/J7KXhHN6/7abf7b68-f354-43f1-b5f0-168c850e3467.png
Mega Man Zero 3,2004-10-05,4.18,77,Action,Mega Man Zero 3 is a video game developed by Inti Creates and published by Capcomfor the Game Boy Advance (GBA) handheld game console. It is the third video gamein the Mega Man Zeroseries of Mega Manvideo games.,https://gamefaqs.akamaized.net/box/9/6/3/58963_front.jpg
Mother 1+2,2003-06-20,4.16,,Miscellaneous,"Mother, officially known outside of Japan as EarthBound Beginnings, is a role-playing video gamedeveloped by Ape and published by Nintendofor the Famicom. The first entry in the Motherseries, it was first released in Japan on July 27, 1989. It is modeled on the gameplay of the Dragon Quest series, but is set in the late 20th-century United States, unlike its fantasy genre contemporaries. Motherfollows the young Ninten as he uses his great-grandfather's studies on psychic powers to fight hostile, formerly inanimate objects and other enemies. The game uses random encounters to enter a menu-based, first-person perspective battle system.",https://gamefaqs.akamaized.net/box/8/7/4/52874_front.jpg
Astro Boy: Omega Factor,2004-08-18,4.14,85,Action,"Astro Boy: Omega Factor is a beat 'em up video gamedeveloped by Treasureand Hitmaker, and published by Sega (THQin Europe). The game was released for the Game Boy Advance on December 18, 2003 in Japan; August 18, 2004 in North America; and February 18, 2005 in Europe. The game is based on Osamu Tezuka's manga and anime franchise Astro Boy. However, it also features characters and plotlines from the artist's entire canon of work.",https://gamefaqs.akamaized.net/box/4/0/9/57409_front.jpg
Final Fantasy V Advance,2006-11-06,4.14,83,Role-Playing,"Final Fantasy V is a medieval-fantasy role-playing video gamedeveloped and published by Square in 1992 as a part of the Final Fantasyseries. The game first appeared only in Japan on Nintendo's Super Famicom(known internationally as the Super Nintendo Entertainment System). It has been ported with minor differences to Sony's PlayStation and Nintendo's Game Boy Advance. An original video animationproduced in 1994 called Final Fantasy: Legend of the Crystals serves as a sequel to the events depicted in the game. It was released for thePlayStation Network on April 6, 2011, in Japan. An enhanced port of the game, with new high-resolution graphics and a touch-based interface, was released for iPhone and iPad on March 28, 2013, and for Android on September 25, 2013.",https://gamefaqs.akamaized.net/box/9/4/3/71943_front.jpg
Pokemon Sapphire Version,2003-03-19,4.13,,Role-Playing,"Pokémon Ruby Version and Sapphire Version are role-playing video gamesdeveloped by Game Freak, published by The Pokémon Company and Nintendo for the Game Boy Advance. They are the first installments in the third generation of the Pokémon video game series, also known as the ""advanced generation"". For the first time after years of Nintendo publishing the games alone in all regions, The Pokémon Company began co-publishing the games since the establishment of the company by the owners of the franchise. They were first released in Japan in late 2002 and internationally in 2003. Pokémon Emerald, a special edition version, was released two years later in each region. Remakes of the two games, titled Pokémon Omega Ruby and Alpha Sapphire, were released for the Nintendo 3DS worldwide on November 21, 2014, exactly twelve years to the date of the original Ruby and Sapphire release date, with the exception of Europe, where it was released on November 28, 2014.",https://gamefaqs.akamaized.net/box/7/0/0/22700_front.jpg
Fire Emblem: The Sacred Stones,2005-05-23,4.11,85,Strategy,"Fire Emblem: The Sacred Stones is a tactical role-playing game developed by Intelligent Systems, and published by Nintendofor the Game Boy Advance handheld video game console in 2004 for Japan and 2005 in the West. It is the eighth entry in the Fire Emblemseries, the second to be released outside Japan, and the third and final title to be developed for the Game Boy Advance after The Binding Blade and its prequel Fire Emblem.",https://gamefaqs.akamaized.net/box/1/8/1/61181_front.jpg
Mega Man Battle Network 2,2002-06-17,4.11,81,Role-Playing,"Mega Man Battle Network 2 is a video game developed by Capcom for the Game Boy Advance (GBA) handheld game console. It is the second game of the Mega Man Battle Network series. It was released in 2001 in Japan and 2002 in America and Europe. The story of the game starts after the events of Mega Man Network Transmission. It was released on the Wii U's Virtual Console in Japan on November 12, 2014 and in North America on January 8, 2015.",https://gamefaqs.akamaized.net/box/5/3/9/17539_front.jpg
Mega Man Zero 4,2005-10-04,4.11,77,Action,"Mega Man Zero 4 is a video game developed by Inti Creates and Natsume and published in 2005 by Capcom for the Game Boy Advance(GBA) handheld. It is the fourth and final title in the Mega Man Zerosubseries of the Mega Man franchise and is set several months after the events of Mega Man Zero 3. The game deals with Dr. Weil's reign over Neo Arcadia in which humans, who have been reduced to second-rate citizens, begin to escape in large numbers to the last-known livable location on the planet, Area Zero, beginning a conflict between the two groups. The effects of this war eventually drive Zero and the Resistance to protect Area Zero and its inhabitants from Dr. Weil.",https://gamefaqs.akamaized.net/box/8/8/8/64888_front.jpg
Advance Wars,2001-09-09,4.11,92,Strategy,"Advance Wars is a turn-based tactics video game developed for the Game Boy Advance by Intelligent Systems and published by Nintendo. It was released in North America on September 10, 2001 with a later release date on Japan and Europe, but the game release was put on hold in both Japanese and European regions due to the following day's September 11 attacks in the United States. Although the game was released in Europe in January 2002, neither GBA game was released in Japan until the Game Boy Wars Advance 1+2compilation on November 25, 2004. Advance Wars has been released for the Wii U Virtual Console simultaneously in Europe and North America on April 3, 2014.",https://gamefaqs.akamaized.net/box/0/3/6/13036_front.jpg
Final Fantasy IV Advance,2005-12-12,4.11,85,Role-Playing,"Final Fantasy IV Advance (JP) is a Game Boy Advance video game released in 2005 and 2006. The game was developed by Square Enix, and published by them in Japan. In America and Europe it was published by Nintendo. In Japan, a bundle was released that packed the game in with a Game Boy Micro (with Cecil and Kain on it). The game is a remake of the SNES/Super Famicom classic Final Fantasy IV.",https://gamefaqs.akamaized.net/box/1/1/3/71113_front.jpg
Pokemon Ruby Version,2003-03-19,4.1,82,Role-Playing,"Pokémon Ruby Version and Sapphire Version are role-playing video gamesdeveloped by Game Freak, published by The Pokémon Company and Nintendo for the Game Boy Advance. They are the first installments in the third generation of the Pokémon video game series, also known as the ""advanced generation"". For the first time after years of Nintendo publishing the games alone in all regions, The Pokémon Company began co-publishing the games since the establishment of the company by the owners of the franchise. They were first released in Japan in late 2002 and internationally in 2003. Pokémon Emerald, a special edition version, was released two years later in each region. Remakes of the two games, titled Pokémon Omega Ruby and Alpha Sapphire, were released for the Nintendo 3DS worldwide on November 21, 2014, exactly twelve years to the date of the original Ruby and Sapphire release date, with the exception of Europe, where it was released on November 28, 2014.",https://gamefaqs.akamaized.net/box/1/0/9/13109_front.jpg
Fire Emblem: Fuuin no Tsurugi,2002-03-29,4.09,,Strategy,"Fire Emblem: The Binding Blade is a tactical role-playing game developed by Intelligent Systems and published by Nintendofor the Game Boy Advance (GBA) handheld video game console. It is the sixth entry in the Fire Emblemseries, the first title produced for the system, and the first title to appear on a handheld console. It was released in Japan in March 2002.",https://gamefaqs.akamaized.net/box/5/0/5/20505_front.jpg
Donkey Kong Country 2,2004-11-15,4.08,80,Action,"Donkey Kong Country 2: Diddy's Kong Quest, released in Japan as Super Donkey Kong 2: Dixie & Diddy (スーパードンキーコング2 ディクシー＆ディディ), is an adventure platform video game developed by Rare and published by Nintendo for the Super Nintendo Entertainment System (SNES). It was released on 20 November 1995 in North America, on 21 November 1995 in Japan, and on 14 December 1995 in Europe. It is the second installment of the Donkey Kong Countryseries and serves as a direct sequel to Donkey Kong Country. It was re-released for the Game Boy Advance (GBA) in 2004. The game was made available for download on the Wii's Virtual Console in 2007, and the Wii U's Virtual Console in 2015. It was followed by a sequel, Donkey Kong Country 3: Dixie Kong's Double Trouble!, in 1996.",https://gamefaqs.akamaized.net/box/2/1/8/58218_front.jpg
WarioWare: Twisted!,2005-05-23,4.08,88,Miscellaneous,"WarioWare: Twisted!is a puzzle video gamefor Game Boy Advanceby Nintendo. It is the third installment in the WarioWare series. It was released on October 14, 2004 in Japan; on May 19, 2005 in Australia; and on May 23, 2005 in North America.",https://gamefaqs.akamaized.net/box/8/9/9/61899_front.jpg
"WarioWare, Inc.: Mega Microgame$!",2003-05-26,4.07,89,Miscellaneous,"WarioWare, Inc.: Mega Microgames!, stylized as WarioWare, Inc.: Mega Microgame$! and known in the PAL regionas WarioWare, Inc.: Minigame Mania, is a minigame compilation video game for the Game Boy Advance. The debut title in the WarioWare series, the game is about rapid completion of ""microgames"", short minigames given to the player consecutively and with increasing speed per each game complete. Developed by Nintendo R&D1 and published by Nintendo, the game was inspired by the ""Sound Bomber"" mode of Mario Artist: Polygon Studio for the Nintendo 64DD. The game was produced by Takehiro Izushi and directed by Hirofumi Matsuoka. Matsuoka was also the director of Polygon Studio. Mega Microgames! was released in 2003; in Japan in March, in North America and Europe in May and in Australia in June.",https://gamefaqs.akamaized.net/box/5/1/0/52510_front.jpg
Mega Man Zero 2,2003-10-14,4.06,81,Action,"Mega Man Zero 2 is a video game developed by Inti Creates and published by Capcomfor the Game Boy Advance (GBA) handheld game console. It is the second video game in the Mega Man Zero subseries of Mega Man video games. The European version also released the same day as the North American Mega Man X7 was. It was released in Japan on the Wii U's Virtual Console on January 7, 2015.",https://gamefaqs.akamaized.net/box/4/1/6/52416_front.jpg
Classic NES Series: The Legend of Zelda,2004-06-02,4.06,84,Action Adventure,"The Legend of Zeldais a fantasy action-adventure video game franchise created by Japanese game designers Shigeru Miyamoto and Takashi Tezuka. It is primarily developed and published by Nintendo, although some portable installments and re-releases have been outsourced to Capcom, Vanpool, and Grezzo. The series' gameplay incorporates action-adventure and elements of action RPG games.",https://gamefaqs.akamaized.net/box/4/6/6/58466_front.jpg
Castlevania: Circle of the Moon,2001-06-10,4.05,91,Role-Playing,"Castlevania: Circle of the Moon, known in the PAL region as simply Castlevania, is a platform video gamecreated by Konami for the Game Boy Advance. Published as a launch title in 2001, Circle of the Moon belongs to Konami's Castlevaniavideo game series, the premise of which centers on the eternal conflict between the vampire hunters of the Belmont clan and the vampire Dracula.",https://gamefaqs.akamaized.net/box/2/7/0/12270_front.jpg
Tactics Ogre: The Knight of Lodis,2002-05-11,4.02,88,Strategy,"Tactics Ogre: The Knight of Lodis is a tactical role-playing game developed by Quest. It was released by Nintendo in Japan in 2001 on the Game Boy Advance, then later released by Atlus in North America in 2002.",https://gamefaqs.akamaized.net/box/8/3/5/12835_front.jpg
Super Robot Taisen: Original Generation 2,2006-11-14,4.02,82,Strategy,Super Robot Taisen: Original Generation 2(スーパーロボット大戦ORIGINAL GENERATION2 Sūpā Robotto Taisen Orijinaru Jenerēshon Tsū) is a tactical role-playing game for the Game Boy Advance. It is the second Super Robot Taisen game that was officially released in North America.,https://gamefaqs.akamaized.net/box/9/0/6/61906_front.jpg
Zone of the Enders: The Fist of Mars,2002-03-03,4.02,71,Strategy,"Zone of the Enders: The Fist of Mars, known in Japan as Zone of the Enders: 2173 Testament (ゾーン オブ エンダーズ 2173 テスタメント Zōn obu Endāzu 2173 Tesutamento), is a video game that was developed by Sunrise Interactive and published by Konami in 2001 for the Game Boy Advance. The game is story-orientated, and is based around turn-based strategic mechacombat.",https://gamefaqs.akamaized.net/box/8/6/3/14863_front.jpg
Summon Night: Swordcraft Story 2,2006-10-17,4.02,79,Role-Playing,Summon Night: Swordcraft Story 2 (サモンナイト クラフトソード物語2 Samon Naito Kurafutosōdo Monogatari 2) is an action role-playing gameby Banpresto for the Nintendo Game Boy Advance system. It is part of the Summon Night series of games and the sequel to Summon Night: Swordcraft Story. Atlushandled the English translation of the game.,https://gamefaqs.akamaized.net/box/4/2/3/59423_front.jpg
Summon Night: Swordcraft Story,2006-07-26,4.01,77,Role-Playing,"Summon Night: Swordcraft Story (サモンナイト クラフトソード物語 Samon Naito Kurafutosōdo Monogatari), is an action role-playing game by Banpresto for the Nintendo Game Boy Advance system. It is part of the Summon Night series of games. Atlus handled the English translation of the game. It has a sequel, Summon Night: Swordcraft Story 2.",https://gamefaqs.akamaized.net/box/1/7/7/44177_front.jpg
Kirby & the Amazing Mirror,2004-10-18,4.01,80,Action,Kirby & the Amazing Mirror is a Kirbyplatform video gamereleased in 2004 for the Game Boy Advance.,https://gamefaqs.akamaized.net/box/9/8/5/57985_front.jpg
Super Robot Taisen: Original Generation,2006-08-08,4.01,72,Strategy,"Super Robot Taisen: Original Generation(スーパーロボット大戦ORIGINAL GENERATION Sūpā Robotto Taisen Orijinaru Jenerēshon) is a tactical role-playing game for the Game Boy Advance, developed by Banprestoand published by Atlus(Banpresto in Japan).",https://gamefaqs.akamaized.net/box/0/2/1/44021_front.jpg
Rockman EXE 4.5 Real Operation,2004-08-04,4.01,,Role-Playing,"Rockman EXE 4.5 Real Operation (ロックマンエグゼ4.5 リアルオペレーション) is a title in the Mega Man Battle Network sub-series of Mega Man video games. The game was released only in Japan on August 6, 2004, and is not part of the main Mega Man Battle Network storyline.",https://gamefaqs.akamaized.net/box/2/3/9/61239_front.jpg
F-Zero Climax,2004-10-21,4.01,,Racing,"F-Zero Climax is a racing video gamedeveloped by Suzak Inc.and published by Nintendofor the Game Boy Advance(GBA) handheld console. The game was originally released exclusively in Japan on October 21, 2004. The F-Zero franchisewent on hiatus after its release.",https://gamefaqs.akamaized.net/box/7/5/8/61758_front.jpg
Final Fantasy Tactics Advance,2003-09-08,4,87,Strategy,"Final Fantasy Tactics Advance is a tactical role-playing gamedeveloped and published by Square (now Square Enix) for the NintendoGame Boy Advance. A spin-off of the Final Fantasy series, the game shares several traits with 1997's Final Fantasy Tactics, although it is not a direct sequel. The player assembles a clan of characters, and controls their actions over grid-like battlefields. Players are mostly free to decide the classes, abilities, and statistics of their characters.",https://gamefaqs.akamaized.net/box/1/1/2/17112_front.jpg
Boktai 2: Solar Boy Django,2004-10-19,4,78,Role-Playing,"Boktai 2: Solar Boy Django, also known as Zoktai, is a video gamethat was developed and published by Konami for the Game Boy Advance. Released in North Americaand Japan in 2004 and in Europe in 2005, it is the sequel to Boktai: The Sun Is in Your Hand.",https://gamefaqs.akamaized.net/box/6/6/4/59664_front.jpg
Kirby: Nightmare in Dream Land,2002-12-02,4,81,Action,"The new graphics made for the GBA remake were well received. GameSpot highlighted the multiple layers of scrolling, transparency effects, and other visual flare as an improvement over the original. However, they did not think the game was visually up to par with other GBA games such as Yoshi's Island and Castlevania: Harmony of Dissonance. The new minigames and multiplayer modes were also praised for adding new replay value. Since the main gameplay and level design was borrowed from the original, it was generally commended but with some criticism again directed toward its short length and easiness. GameSpy wrote: ""the simplicity means you can enjoy it as a light snack instead of a main course such as Metroid Fusion or Castlevania: Harmony of Dissonance."" They thought the game would be best enjoyed by children watching the anime airing on television at the time, Kirby: Right Back at Ya!. GameSpot agreed, explaining the game was not as deep as Metroid Fusion or Yoshi's Island, but was suited for ""younger players or the young at heart."" Eurogamerfound it difficult to recommend the game at full price because it was only a remake and also a short game.",https://gamefaqs.akamaized.net/box/5/6/9/18569_front.jpg
Super Robot Taisen R,2002-08-02,3.99,,Strategy,"Super Robot Wars R (スーパーロボット大戦RSūpā Robotto Taisen Aaru)is a video game for the Game Boy Advance and is part of the Super Robot Wars franchise. It is the second game for the handheld system, preceded by Super Robot Wars A. Like its predecessor, it is ported into a mobile cellphone as part of the Super Robot Wars i line.",https://gamefaqs.akamaized.net/box/5/7/5/20575_front.jpg
Shining Force: Resurrection of the Dark Dragon,2004-06-08,3.98,77,Strategy,"Shining Force: The Legacy of Great Intention(シャイニング・フォース 神々の遺産 Shainingu Fōsu: Kamigami no Isan, lit. ""Shining Force: The Legacy of the Gods""), is a 1992 fantasy turn-based tactics role-playing video game for the Mega Drive/Genesis console. While primarily a traditional fantasy-themed game, it contains some science fiction elements.",https://gamefaqs.akamaized.net/box/3/3/9/57339_front.jpg
