Title,Release Date,Score / 5,MetaScore,Genre,Description (Wikipedia),US Art (Link)
Dynamite Headdy,1994-08-04,4.09,n/a, Action - Platformer - 2D,"Dynamite Headdy is a platform video game developed by Treasure and published by Sega for the Sega Genesis in 1994. The game follows a puppet named Headdy in his efforts to stop an evil puppet king from taking over his world. Headdy can throw his head at enemies to defeat them and use it to pull himself to various areas and move objects. The player can find a wide variety of ""heads"" which act as power-ups that provide different effects and alter gameplay",https://images.launchbox-app.com/77fec80b-ed67-4850-8b5c-c687ad1a36e1.jpg
"Sonic the Hedgehog
",1991-06-23,4.09,n/a,Action - Platformer - 2D,"Sonic the Hedgehog is a media franchise owned by Sega, centering on a series of high-speed platform games. Sonic, the protagonist, is an anthropomorphic blue hedgehog with supersonic speed. Typically, Sonic must stop antagonist Doctor Eggman's plans for world domination, often helped by his friends, such as Tails, Amy, and Knuckles.",https://images.launchbox-app.com/cf1a5a30-ef33-499d-a380-adabb7d24c50.jpg
ToeJam & Earl,1992-03-12,4.06,n/a,Action - General,"ToeJam & Earl is an action game developed by Johnson Voorsanger Productions and published by Sega for the Sega Genesis console. Released in 1991, it centers on ToeJam and Earl—alien rappers who have crash-landed on Earth. As they attempt to escape the planet, players assume the role of either character and collect pieces of their wrecked spacecraft. ToeJam & Earl's design was heavily influenced by the role-playing video game Rogue, and took from it such features as the random generation of levels and items. It references and parodies 1980s and early 90s urban culture and is set to a funk soundtrack.",https://images.launchbox-app.com/b73877e2-6869-4f3b-9115-d684229e98f7.jpg
Streets of Rage 3,1994-03-17,4.06,n/a,Action - Beat-'Em-Up - 2D,"Streets of Rage 3, known in Japan as Bare Knuckle III (ベア・ナックルIII Bea Nakkuru Surī), is a side-scrolling beat 'em up developed and published by Sega in 1994 for the Sega Genesis. It is the third and to-date, final installment of the Streets of Rage series. It was later released for the Japanese version of Sonic Gems Collection for the Nintendo GameCube and PlayStation 2, and for the Wii Virtual Console in September 2007. The game also appeared in Sonic's Ultimate Genesis Collection for Xbox 360 and PlayStation 3",https://images.launchbox-app.com/926ce18a-95e0-4b48-b728-c3de1c932d04.jpg
Crusader of Centy,1994-06-16,4.06,n/a,Role-Playing - Action RPG,"Crusader of Centy (also known as Soleil in Europe and Shin Sōseiki Ragnacënty (新創世紀ラグナセンティ Shin Sōseiki Ragunasenti) (Dawn of the Era: Ragnacënty) in Japan) is an action-adventure game that was released on the Genesis/Mega Drive. The story centers on Corona, a boy who has just turned 14 years of age and must inherit his late father's sword to fight the monsters that threaten the human race's existence. Gameplay uses an overhead perspective and focuses on exploring, battling enemies with a sword, and solving puzzles. As the story progresses, numerous animals join the hero and aid him. They are used in gameplay like weapons or tools, which often grant passage to previously inaccessible areas.",https://images.launchbox-app.com/5df4e532-daa7-4c34-8475-7b79bae38869.jpg
6-Pak,1994,4.05,n/a,Miscellaneous - Compilation,"6-Pak is a compilation of Sega Mega Drive games released in June 1995, during the console's decline. The cartridge contains 6 of Sega's most successful games from the early days of the system; Sonic the Hedgehog, Golden Axe, Revenge of Shinobi, Streets of Rage, Columns and Super Hang-On. The in-game menu features digitized box art of the original games. It also came with a 67-page manual that contained the complete instructions for all six games. Interestingly, the artwork used on the box for Columns is not from the Mega Drive version, but instead the Sega Master System edition of the game.",https://images.launchbox-app.com/ea05a400-d39d-4383-b34b-bd6a15997c96.jpg
Langrisser II,1994-08-26,4.05,n/a,Strategy - Turn-Based - Tactics,"Langrisser II is a tactical role-playing game for the Sega Mega Drive console. It is the sequel to Warsong, and was never released outside Japan. Langrisser II was also remade for the Super Famicom by Masaya as Der Langrisser, which featured multiple paths through the game, greatly reduced difficulty, and reworked graphics. A PC-FX port, Der Langrisser FX, was also released, featuring animated cut-scenes. It was later compiled with the first Langrisser for the PlayStation as Langrisser I&II, and then given a script edit and new branch of the Imperial path in its final Saturn remake as Langrisser: Dramatic Edition. A Windows 98 release of the game was released in Japanese, Chinese and Korean; it features redrawn, high-resolution graphics, but a vastly trimmed-down soundtrack to fit the confines of a standard length CD",https://images.launchbox-app.com/ec7a4984-89ac-4593-83e2-f138f7aac82a.png
Monster World IV,2012-05-10,4.04,n/a,Action - Platformer - 2D,"Monster World IV is an action-adventure platform game, developed by Westone and released in Japan by Sega for the Mega Drive in April 1994. It is the sixth game in the Wonder Boy/Monster World series. It was later released for the PlayStation 2 on March 8, 2007, as part of the Sega Ages 2500 series under the name Sega Ages 2500 Series Vol. 29: Monster World Complete Collection. It was released on the Wii's Virtual Console service in Japan on January 15, 2008. An English-language version was released in North America and Europe for Virtual Console on May 10, 2012, with a release on Xbox Live Arcade and PlayStation Network to follow on May 22, 2012.. Monster World IV was the last Wonder Boy game to be both published by Sega & developed by Westone Bit Entertainment",https://images.launchbox-app.com/15d70abc-59f4-4062-afc1-6a947ee9e5d1.jpg
Castlevania: Bloodlines,1994-03-17,4.02,n/a,Action - Platformer - 2D,"Castlevania: Bloodlines is a platform game developed, and published by Konami for the Sega Genesis, released worldwide in March 1994. It was the only Castlevania video game released on the Genesis. The game's storyline concerns a legendary vampire named Elizabeth Bartley, who is Dracula's niece, suddenly appearing in the 20th century. Plotting a sacrificial war in order to bring her uncle back to life, she orchestrates the beginning of World War I. Quincy Morris' son, John, and his best friend Eric Lecarde, vow to take up the fight against evil. Together they manage to prevent Dracula's full resurrection.",https://images.launchbox-app.com/c1c14275-bf44-44cd-9405-e20ea48c3baa.jpg
Street Fighter II': Special Champion Edition,1993-09-27,3.95,n/a,Action - Fighting - 2D,"Street Fighter II: Champion Edition is a fighting game released for the arcades by Capcom in 1992. It was the first of several updated versions of Street Fighter II: The World Warrior, part of the Street Fighter II sub-series of Street Fighter games. The main changes were the addition of the Grand Masters (the final four computer-controlled opponents in the single-player mode) as playable characters and mirror matches (vs. matches using the same character). The fighting techniques of the eight main characters from the original game were also further refined to allow for more-balanced competitive play.",https://images.launchbox-app.com/e001e8af-9ee6-468c-bca2-e78115004ebc.jpg
ToeJam & Earl in Panic on Funkotron,1993,3.94,n/a,Action - Platformer - 2D,"ToeJam & Earl: Panic on Funkotron is a platform video game developed by Johnson Voorsanger Productions and published by Sega in 1993 for the Sega Genesis. The game is the sequel to cult video game ToeJam & Earl, released in 1991. The game concerns two alien protagonists, ToeJam and Earl, both of whom have escaped from Earth, where they had crash landed. After returning to their home planet of Funkotron, the duo discover a number of antagonistic Earthlings have stowed away on the spacecraft and are wreaking havoc across the planet. The player must hunt down these Earthlings and imprison them in jars before sending them back to Earth.",https://images.launchbox-app.com/bf26c61f-9f7e-4237-9f77-76306bb28dc7.jpg
Sonic Classics,1997,3.94,n/a,Miscellaneous - Compilation,"Sonic Classic Collection is a 2010 compilation of various Sonic the Hedgehog games from the Sega Genesis. Developed by Creative Assembly and published by Sega for the Nintendo DS, the game received generally positive reviews upon release. A limited edition, exclusive to Spain and Australia, was released concurrently alongside the standard version of the game. The limited edition comes with a tin box containing the base game, a Sonic figurine, and five postcards of Sonic artwork.",https://images.launchbox-app.com/2e840205-b4ab-4332-99ca-b1ffcbe6460b.jpg
The Adventures of Batman & Robin,1995,3.94,n/a,Action - General,"The Adventures of Batman & Robin is a series of video game adaptations released between 1994 and 1995 featuring the DC Comics characters Batman and Robin based on Batman: The Animated Series (which had been retitled The Adventures of Batman and Robin for its second season). The games were released for numerous platforms, with the Genesis, Game Gear, and Sega CD versions published by Sega while the Super NES version was published by Konami (who also produced an earlier Game Boy video game based on the show).",https://images.launchbox-app.com/8a84de5b-e48f-40e0-adb3-5c0068195139.jpg
Battle Mania: Daiginjou,1993-12-24,3.93,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Battle Mania Daiginjō (Japanese: バトルマニア 大だい吟ぎん醸じょう Hepburn: Batoru Mania Daiginjō, also known as Battle Mania 2) is a horizontal side-scrolling shoot'em-up released by Vic Tokai for the Mega Drive in 1993. It serves as a sequel to the original Battle Mania, which was released in North America under the title Trouble Shooter. Unlike the original Battle Mania, Daginjō was released exclusively in Japan",https://images.launchbox-app.com/254876af-7dc5-4556-b54e-e43d6635876c.png
Wonder Boy in Monster World,1992,3.93,n/a,Action - Platformer - 2D,"Wonder Boy in Monster World, known in Japan as Wonder Boy V: Monster World III, is a side-scrolling action role-playing game originally developed by Westone and published by Sega for the Mega Drive/Genesis in 1991. It is the fifth game in the Wonder Boy series and the third game in the Monster World sub-series, following Wonder Boy in Monster Land (Super Wonder Boy: Monster World on the Japanese Sega Mark III) and Wonder Boy III: The Dragon's Trap (Monster World II: Dragon no Wana on the Japanese Game Gear).",https://images.launchbox-app.com/99976a32-7118-490b-bcad-b2407bd0bc95.jpg
World of Illusion Starring Mickey Mouse and Donald Duck,1993-03-01,3.93,n/a,Action - Platformer - 2D,"World of Illusion Starring Mickey Mouse and Donald Duck is a platform game developed and published by Sega for the Sega Genesis. The game released in December 1992, and is part of Sega's Illusion series of Mickey Mouse games",https://images.launchbox-app.com/601313bf-b520-4dad-9dd0-47c4b767fcea.jpg
Dune: The Battle for Arrakis,1993-08-16,3.93,n/a,Strategy - Real-Time - Command,"Dune II: The Building of a Dynasty (titled Dune II: Battle for Arrakis in Europe and Dune: The Battle for Arrakis for the North American Mega Drive/Genesis port respectively) is a real-time strategy Dune video game developed by Westwood Studios and released by Virgin Games in December 1992. It is based upon David Lynch's 1984 movie Dune, an adaptation of Frank Herbert's science fiction novel of the same name.",https://images.launchbox-app.com/889bbb6e-6383-4954-a5a5-8bc5d3b37a42.jpg
Vectorman,1995-10-24,3.91,n/a,Action - Platformer - 2D,"ectorman is a series of run and gun platform games developed by BlueSky Software and published by Sega for the Sega Mega Drive/Genesis. The first game in the series was released on October 24, 1995 in North America and on November 30, 1995 in Europe. The games have since appeared on several game compilations, including the Sega Genesis Collection for the PlayStation 2 and PlayStation Portable, the Sonic Gems Collection for the Nintendo GameCube, and Sonic's Ultimate Genesis Collection for Xbox 360 and PlayStation 3. Vectorman was added to the Wii Virtual Console on February 27, 2007, in Japan and April 5, 2007, in Europe, and in North America on September 22, 2008. It was also released on the digital distribution service Steam as part of the ""SEGA Genesis Classics Pack"" and as a standalone title. Vectorman was ported to iOS and Android in 2018 as part of the Sega Forever service",https://images.launchbox-app.com/b8742ed6-5ab6-42f0-a2ef-44077075bcf8.jpg
"
Super Street Fighter II",1994,3.91,n/a,Action - Fighting - 2D,"Super Street Fighter II: The New Challengers is a head-to-head fighting game produced by Capcom and originally released as an arcade game in 1993. It is the fourth game in the Street Fighter II sub-series of Street Fighter games, following Street Fighter II Turbo: Hyper Fighting. In addition to refining and balancing the existing character roster from the previous versions, Super Street Fighter II introduced four new characters. It was also the first game to be developed on Capcom's CP System II hardware, which permitted more sophisticated graphics and audio over the original CP System hardware used in previous versions of Street Fighter II",https://images.launchbox-app.com/bf9d73e7-5cdd-423a-8044-592eaf2ff977.jpg
Comix Zone,1995-07-01,3.91,n/a,Action - Platformer - 2D,"Comix Zone is a 1995 beat 'em up video game developed and published by Sega for the Sega Genesis. An unusual feature of the game is that it is set within the panels of a comic book with dialogue rendered within talk bubbles and sprites and backgrounds possessing the bright colours and dynamic drawing style favoured by superhero comics. This style had been used in video games previously, for example Ocean Software's Batman: The Caped Crusader in 1988, but Comix Zone stretched the idea to such an extent that Sega applied for and were granted a patent for a ""Videogame system for creating a simulated comic book game""",https://images.launchbox-app.com/8660c019-36b6-4d1c-80d4-7e8adc1ac521.jpg
"
The Revenge of Shinobi",1989-12-02,3.91,n/a,Action - Platformer - 2D,"The Revenge of Shinobi, released in Japan as The Super Shinobi (ザ・スーパー忍 Za Sūpā Shinobi), is a video game developed and published by Sega in 1989. It was the first Shinobi game developed for the Sega Genesis, and was later released on the coin-operated version of that console, the Mega-Tech",https://images.launchbox-app.com/bd87f603-71e8-4d7d-85ff-1d295fe5c240.jpg
QuackShot starring Donald Duck,1991-12-19,3.91,n/a,Action - Platformer - 2D,"QuackShot Starring Donald Duck, released in Japan as I Love Donald Duck: Guruzia Ou no Hihou (アイラブドナルドダック グルジア王の秘宝), is a 1991 platforming video game developed and published by Sega for the Sega Genesis. The game was released in Europe in 1991, in North America on December 19, 1991 and in Japan on December 20, 1991. QuackShot stars Donald Duck and his three nephews, Huey, Dewey, and Louie, as treasure-hunters, and is part of a series of games published by Sega that were based on Walt Disney cartoon characters. The game was influenced by the Indiana Jones film series.",https://images.launchbox-app.com/15ac7ab2-049c-433a-bf93-87ee11184b14.jpg
Streets of Rage,1991,3.91,n/a,Action - Beat-'Em-Up - 2D,"Streets of Rage is a series of side-scrolling beat 'em up video games, centering on the efforts of several heroes trying to rid a city from the rule of a crime syndicate. The original trilogy of games were developed and published by Sega for the Sega Genesis in the 1990s, and have since been ported and re-released on various platforms. A fourth entry in the series is being developed by DotEmu, Lizardcube, and Guard Crush Games.",https://images.launchbox-app.com/d1cc5d72-2fb5-4d07-8a8e-86c8c6ea2478.jpg
"
MUSHA: Metallic Uniframe Super Hybrid Armor",1990,3.91,n/a,Action - Shooter - Shoot-'Em-Up - Vertical,"MUSHA is a vertically scrolling shoot 'em up developed by Compile and released on the Sega Genesis in 1990. An entry in Compile's shooter series, Aleste, MUSHA places the player in the role of a flying mecha pilot who must destroy a large super intelligent computer threatening planet Earth. Development lasted less than one year. Originally the game had a working title of ""Aleste 2"" and featured a style similar to the first game, but it was redirected to feature a Japanese aesthetic and a speed metal soundtrack.",https://images.launchbox-app.com/70fb31e0-15f5-4e83-8c1f-476fcc3e97dc.jpg
Mega Man: The Wily Wars,1995-04-01,3.89,n/a,Miscellaneous - Compilation,"Mega Man: The Wily Wars is a video game compilation by Capcom for the Sega Genesis. The game features remakes of the first three Mega Man games (Mega Man, Mega Man 2, and Mega Man 3) that were originally released for the Nintendo Entertainment System. The Wily Wars was released in cartridge format in Japan and PAL regions. The North American Genesis version was available via the Sega Channel service or online",https://images.launchbox-app.com/3b417b73-c42d-4f2b-9321-d9910469568c.jpg
Pulseman,2009-07-13,3.89,n/a,Action - Platformer - 2D,"Pulseman (Japanese: パルスマン Hepburn: Parusuman) is 1994 Japanese action platform game developed by Game Freak and published by Sega for the Sega Mega Drive. It was released in North America for the Sega Channel in 1995, and has been released on the Virtual Console for the Wii.",https://images.launchbox-app.com/a0750458-be94-487d-9b61-587e1d8d59c0.jpg
Ecco: The Tides of Time,1994-08-25,3.88,n/a,Action - Platformer - 2D,"Ecco: The Tides of Time is an action-adventure video game developed by Novotrade International, published by Sega, and released for most of Sega's then-supported gaming consoles in 1994. It is the second game in the Ecco the Dolphin series. The Tides of Time continued the story of the first game and featured similar gameplay with a few new additions",https://images.launchbox-app.com/1a658646-af6e-430f-af6d-ad44f61744e8.jpg
NBA Jam Tournament Edition,1995-02-23,3.88,n/a,Sports - Team - Basketball - Arcade,"NBA Jam (sometimes ""Jam"" for short) is a long-running basketball video game series based on the National Basketball Association (NBA). Initially developed as arcade games by Midway, the game found popularity with its photorealistic digitized graphics, over-the-top presentation and exaggerated style of two-on-two basketball play. The successor to Midway's Arch Rivals, the original 1993 NBA Jam allowed players to jump many times above their own height, make slam dunks that defy human capabilities, and freely shove or elbow opponents out of the way. It also featured a variety of secret characters, as well as the ability to track player records and statistics between play sessions",https://images.launchbox-app.com/e4a6e55d-eed2-4ff5-87d9-c006b01f8bec.jpg
Micro Machines 2: Turbo Tournament,1994-11-01,3.88,n/a,Racing - Arcade - Automobile,"Micro Machines 2: Turbo Tournament is a 1994 racing video game developed by Supersonic Software and published by Codemasters for the Sega Mega Drive. The sequel to Micro Machines, the game is themed around Galoob's Micro Machines toys, and players race around environments in miniature toy vehicles. Micro Machines 2: Turbo Tournament adds new vehicles and game modes, and the Mega Drive version was released on J-Cart, enabling up to eight players without a multitap.",https://images.launchbox-app.com/f2ce1027-4fa0-463f-bddc-5232249fd877.jpg
"
Ranger X",1993-05-27,3.88,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Ranger X, released in Japan as Ex-Ranza (エクスランザー), is a side scrolling run and gun shoot 'em up video game for the Sega Mega Drive. Developed by GAU Entertainment and published by Sega, the game was released in 1993",https://images.launchbox-app.com/484f96bd-ccd3-495d-a137-5021f9471b4e.jpg
Flashback: The Quest for Identity,1993-02-20,3.88,n/a,Action - Platformer - 2D,"Flashback, released as Flashback: The Quest for Identity in the United States, is a 1992 science fiction cinematic platform game developed by Delphine Software of France and published by U.S. Gold in United States and Europe, and Sunsoft in Japan",https://images.launchbox-app.com/65281f65-aef5-48ad-b799-e196aabaf98f.jpg
Castle of Illusion Starring Mickey Mouse,1990-12-01,3.87,n/a,Action - Platformer - 2D,Castle of Illusion Starring Mickey Mouse is a 1990 platform game developed by Sega and released for the Sega Genesis. An 8-bit version of the game was later released for the Master System and Game Gear. The game follows Mickey Mouse on a quest to save Minnie Mouse from the evil witch Mizrabel. It was the first game in Sega's long-running Illusion video game series starring Mickey and was also a part of the second wave of games initially released for the Sega Genesis which helped seal the console's reputation within the period until the release of Sonic the Hedgehog in 1991,https://images.launchbox-app.com/554f40be-86fe-4c0d-9bd8-452b8bbaeb0e.jpg
