title,released,gf_score,metascore,genre,description,cover_art_url
99Seconds,2015-05-28,4.0,,Puzzle,"Race against time in this fast-paced puzzle platformer where every second counts. You have just 99 seconds to navigate through increasingly challenging levels filled with obstacles, traps, and hazards. Collect stars to add precious time to your dwindling clock while avoiding deadly spikes, moving platforms, and other dangers. Master tight controls and precise timing as you dash, jump, and wall-slide through compact levels designed for speedrunning. Each completion unlocks new stages with devious layouts that demand quick reflexes and smart routing. With minimalist pixel art and addictive one-more-try gameplay, every fraction of a second matters in your quest to beat the clock.",https://images.launchbox-app.com/c9b207ef-9a2f-45bc-a851-9ab8d8696ccf.png
A Day at the Carnival,2017-07-06,,,Party / Mini-Game Collection,"Step into a desolate carnival wasteland where colorful tents house simple yet engaging mini-games designed for family fun. Play through six carnival classics including skeeball and dart throwing, each offering straightforward gameplay that anyone can enjoy. Rack up points across the various attractions to unlock the secret seventh mini-game and prove your carnival skills. Created by independent developer Thornbury Software with simplified graphics and accessible mechanics, this budget-friendly collection delivers quick carnival thrills.",https://images.launchbox-app.com/3946141e-a814-4876-bc3f-7c9d1591ec59.jpg
A World of Keflings,2013-12-26,3.6,,Strategy,"Build and expand a thriving kingdom with the help of tiny Keflings in this charming city-building adventure. As a giant among the pint-sized inhabitants, you'll gather resources, construct buildings, and shape entire cities across colorful fantasy worlds. Command your Kefling workers to harvest materials, transport supplies, and bring your architectural visions to life. Explore multiple kingdoms, each with unique themes and challenges. Customize your giant avatar and unlock special buildings as you progress. The game blends relaxing creativity with strategic planning, letting you build at your own pace while discovering new blueprints and expanding your influence across the land.",https://images.launchbox-app.com/1afaf17b-3d4d-4795-9d33-94bd727db3c2.jpg
A.C.E.,2017-03-16,3.25,,Arcade Action,"Aliens have infested cities across the world, and it's your job to clean them up in this brutally challenging arcade throwback. Inspired by 90s coin-op machines, ACE offers no menus, no options, and no easy mode—just pure, unforgiving action where one hit means game over. Battle through procedurally generated levels, rack up high scores, and compete against players worldwide on the online leaderboards. With its old-school difficulty and score-chasing gameplay, ACE delivers an authentic arcade experience that demands precision, quick reflexes, and nerves of steel. Can you survive the alien cleanup? Character count: 598 Sources: - [A.C.E.",https://images.launchbox-app.com/012c0115-56ca-4163-9770-16a479b37d14.png
Absolutely Unstoppable MineRun,2017-04-13,1.64,,Auto-run Platformer,"A challenging vertical auto-runner where an out-of-control Miner must escape rising lava. Navigate 16 vertical levels of escalating difficulty using precisely timed jumps and double jumps to reach the top. Features 3 objectives per level for added challenge. Supports 1-5 players with two multiplayer modes, including a unique ""Describe & Draw"" mode. Difficulty ranges from very easy to near-impossible, demanding memorization and timing over pure skill.",https://images.launchbox-app.com/d6a1587e-3ce7-4a45-af49-9dd4b8249911.png
Abyss,2014-05-01,3.36,,Action/Survival,"Guide Nep2no, a bio-mechanical deep-sea submarine, through the ocean depths in the year 3024 to harvest Gaia energy stones. Navigate 12 increasingly challenging missions while battling gravity's constant pull in this physics-based survival game. Collect energy sources while avoiding obstacles in the dark abyss. Features competitive two-player mode with asymmetric GamePad and TV play, plus unlockable Dark Mode with tougher challenges and time-attack Arcade Mode for skilled players. Sources: - [Abyss Review (Wii U eShop) | Nintendo Life](https://www.nintendolife.com/reviews/wiiu-eshop/abyss) - [Abyss | Nintendo Fandom](https://nintendo.fandom.com/wiki/Abyss) - [EnjoyUp Games Bringing Abyss to",
Act It Out!,,3.78,,,,https://images.launchbox-app.com/71048470-de61-402b-ab66-3fde6dd17857.png
Adventure Party - Cats and Caverns,2016-08-18,4.11,,Party RPG,"A unique tabletop-inspired party RPG where one player becomes the Storyteller using the GamePad to control the world, while up to four Adventurers explore dungeons filled with feline-themed creatures. Players collaborate through role-playing interactions as the Storyteller narrates their journey through caverns, presenting challenges and controlling NPCs. Features four story missions offering 10-15 hours of cooperative gameplay that blends digital gaming with pen-and-paper RPG mechanics, emphasizing creative storytelling and player interaction over traditional combat systems. Sources: - [Adventure Party: Cats and Caverns (2016) | Wii U eShop Game | Nintendo Life](https://www.nintendolife.co",
Adventure Time Explore the Dungeon Because I Don't Know!,2013-11-19,3.38,,Action RPG,"Join Finn and Jake in this dungeon-crawling adventure through the Secret Royal Dungeon beneath the Candy Kingdom. Princess Bubblegum has tasked you with exploring 100 floors of monster-filled mayhem to uncover why the creatures inside are acting so weird. Battle through procedurally-generated levels solo or team up with up to four friends in local co-op, choosing from beloved characters including Finn, Jake, Marceline, Cinnamon Bun, and others. Collect treasure, upgrade your heroes' abilities, and unleash special attacks as you descend deeper into the dungeon. Featuring the show's signature humor and art style, you'll encounter familiar faces and discover new secrets in the Land of Ooo.",https://images.launchbox-app.com/c7e5f2b1-4a41-4d28-bafd-80aaddcf546a.jpg
Adventure Time Finn and Jake Investigations,2015-10-20,3.42,,Adventure,"Join Finn and Jake in this adventure game that brings the Land of Ooo to life with an original story and the humor fans love. Investigate strange occurrences across five exciting cases, from mysterious disappearances to supernatural happenings. Use Finn's sword skills and Jake's shape-shifting abilities to solve puzzles, battle enemies, and interrogate colorful characters from the show. Explore 3D environments across familiar locations, collect clues, and piece together evidence. The game features full voice acting from the original cast and captures the show's distinctive art style and comedic tone. Perfect for Adventure Time fans and newcomers alike. Character count: 663",https://images.launchbox-app.com/6c6da87d-550b-40ed-bd24-1ef590a6c614.jpg
Adventures of Pip,2015-06-04,3.83,,Platformer,"Adventures of Pip is a side-scrolling action platformer where you literally evolve your character through three distinct pixel forms. Start as a single pixel, then transform into an 8-bit hero, and finally a detailed 16-bit warrior. Each form has unique abilities: the single pixel can float and fit through tiny gaps, 8-bit Pip delivers powerful punches, and 16-bit Pip wields a sword for combat and wall-jumping. You'll need to master evolving and devolving between forms to solve environmental puzzles, defeat enemies, and navigate cleverly designed levels. Battle through five worlds to rescue the kidnapped princess and restore the Pixel Kingdom from the evil Skeleton Queen.",https://images.launchbox-app.com/8ee29044-7bf5-437b-9b7e-91345ec5b6df.png
Aenigma Os,,3.33,,,,https://images.launchbox-app.com/18216623-e522-4faa-9856-522aed68c7b5.png
Affordable Space Adventures,2015-04-09,3.96,81,Action,"Affordable Space Adventures is a puzzle adventure game developed and published by NapNok Games in collaboration with Nifflas' Games. The game was released for the Wii U via the Nintendo eShop download service on April 9, 2015. The game's main gameplay feature is its unique use of the Wii U Gamepad to control a spaceship by using the controls shown on the touch-screen including two different engines and other controls. .",https://images.launchbox-app.com/fb24f2c3-d33f-4d1a-a414-175d8774f13d.png
Alice in Wonderland,2016-09-01,2.5,,Interactive Storybook,"An interactive visual novel adaptation of Lewis Carroll's classic tale. Choose chapters, select settings, and experience the timeless story of Alice's journey through Wonderland with narrated text, 2D character illustrations over photographic backgrounds, and occasional story choices. Designed to bring classic literature to life for young audiences who prefer visual storytelling over traditional reading. Features the complete original story across multiple chapters. Sources: - [Alice in Wonderland (Wii U eShop) Review - Seafoam Gaming](https://seafoamgaming.com/2016/10/08/alice-in-wonderland-wii-u-eshop-review/) - [Alice in Wonderland (2016) | Wii U eShop Game | Nintendo Life](https://www.n",
Alphadia Genesis,2014-10-30,4.15,,RPG,"Alphadia Genesis is a classic-style Japanese RPG that combines traditional turn-based combat with a deep narrative spanning two intertwined worlds. Play as Fray and his companions as they uncover the mystery behind dangerous energy clones threatening the kingdom. The game features a rich job system allowing characters to master multiple classes, strategic turn-based battles with combo attacks, and extensive character customization. Explore dungeons, solve puzzles, and engage in side quests across vibrant environments.",https://images.launchbox-app.com/52a35242-7dd9-4d0c-b0c3-64bc6d3a35f0.jpg
amiibo Tap,2015-04-30,3.05,,Demo Collection,"amiibo Tap transforms your amiibo figures into keys that unlock playable scenes from classic NES games. Each amiibo reveals a different retro Nintendo title, letting you experience iconic moments from games like Super Mario Bros., The Legend of Zelda, Metroid, and more. Tap an amiibo to the GamePad and discover which game you've unlocked, then play through a timed demo scene showcasing memorable levels and gameplay. With multiple NES classics available and different amiibo unlocking different titles, this free application offers a nostalgic journey through Nintendo's 8-bit heritage while adding new purpose to your amiibo collection.",https://images.launchbox-app.com/6865af2c-7d11-44b1-ae71-00a57f248a9a.jpg
Angry Birds Trilogy,2013-08-13,3.54,,Puzzle,"Launch into addictive physics-based mayhem with three complete Angry Birds adventures in one package. Sling your feathered arsenal across hundreds of levels from the original Angry Birds, Seasons, and Rio, using the Wii U GamePad's intuitive touchscreen controls or traditional inputs. Each bird brings unique abilities to demolish the egg-stealing pigs' increasingly elaborate fortifications. Master precision shots, discover hidden bonus content, and chase three-star perfection through diverse themed worlds ranging from tropical beaches to snowy wonderlands.",https://images.launchbox-app.com/ca8b4c7b-8aac-4386-ab19-84f80e26946f.jpg
Angry Birds: Star Wars,2013-10-29,3.69,,Puzzle,"Join an epic adventure with the Angry Birds in the legendary Star Wars universe, re-mastered for gaming systems! Use the Force, wield your Lightsaber, and blast away Pigtroopers on an intergalactic journey from the deserts of Tatooine to the depths of the Pig Star! Can you become a Jedi Master and restore freedom to the galaxy?",https://images.launchbox-app.com/2be1dc7d-31d9-4da5-a8f3-24442f89b669.jpg
Angry Bunnies - Colossal Carrot Crusade,,2.88,,,,
Angry Video Game Nerd Adventures,2013-10-06,3.77,,Platformer,"Angry Video Game Nerd Adventures is a brutally challenging retro platformer that throws you into the Nerd's pixelated nightmare. Battle through eight fiendishly difficult stages filled with death blocks, impossible jumps, and references to gaming's most notorious failures. Armed with your trusty Zapper and special weapons like the Super Scope and Power Glove, you'll face bosses inspired by terrible games while the Nerd's signature crude humor drives the experience. This is old-school difficulty cranked to eleven—expect to die hundreds of times as you navigate pixel-perfect jumps and memorize enemy patterns.",https://images.launchbox-app.com/9ca81508-4310-4d43-9260-2b8ab376f92e.jpg
Animal Crossing Plaza,2013-08-07,3.24,,Miscellaneous,"Animal Crossing is a social simulation video game series developed and published by Nintendo and was created by Katsuya Eguchi. In Animal Crossing, the player character is a human who lives in a village inhabited by anthropomorphic animals, carrying out various activities including fishing, bug catching, fossil hunting, etc. The series is notable for its open-ended gameplay and extensive use of the video game consoles' internal clock and calendar to simulate real passage of time.",https://images.launchbox-app.com/01c6544c-0237-4d86-9c71-8a94b729beeb.jpg
Animal Crossing: amiibo Festival,2015-11-13,2.92,46,Miscellaneous,"Animal Crossing: Amiibo Festival is a party video game developed by Nintendo and NDcube for the Wii U. The game is a spin-off of the Animal Crossing series, and was released worldwide in November 2015.",https://images.launchbox-app.com/eda6613e-e8fd-4329-899e-fae357b4cef6.jpg
Animal Gods,2017-04-06,1.5,,Action-Adventure,"Play as Thistle, an ancient hunter on a mission to destroy the curse plaguing fallen gods in Bronze Age Europe. This beautifully illustrated top-down adventure combines zen-like exploration with skill-based puzzling and precision platforming. Choose your path through the Gardens of Gwyn, Halls of Eynd, and Coast of Syn, wielding a Bronze Age sword against one-hit-kill challenges. Each dungeon offers unique weapons and upgrades as you battle to free the cursed Animal Gods through approximately 75% skill and 25% strategy-based gameplay. Sources: - [Animal Gods for Wii U - Nintendo Game Details](https://www.nintendo.com/games/detail/animal-gods-wii-u/) - [Animal Gods (2017) | Wii U eShop Game",https://images.launchbox-app.com/2ccffb99-77e2-46ec-98a3-40b393b2e0bc.jpg
Annihilation,2017-08-31,,,Arcade Shooter,"Defend your base in this top-down arcade shooter as endless waves of enemies spawn in random variations. Battle solo or team up with a friend in co-op mode to fight off the relentless onslaught. Face increasingly challenging waves as you protect your position and rack up points. Simple but intense gameplay designed for quick sessions, with randomized enemy patterns keeping each playthrough fresh. Sources: - [Annihilation (2017) | Wii U eShop Game | Nintendo Life](https://www.nintendolife.com/games/wiiu-eshop/annihilation) - [Annihilation | Wii U download software | Games | Nintendo UK](https://www.nintendo.com/en-gb/Games/Wii-U-download-software/Annihilation-1301791.html) - [Review: Annihil",https://images.launchbox-app.com/9d810842-e124-446e-84fa-24bd832abe54.png
Another World - Out of This World,2014-05-08,4.24,,Action,"You are Lester Knight Chaykin, a brilliant physicist whose experiment goes catastrophically wrong, teleporting you to a hostile alien world. Armed with nothing but your wits and eventually an energy pistol, you must survive deadly encounters with indigenous creatures and alien captors. This cinematic platformer pioneered rotoscoped animation and atmospheric storytelling without dialogue. Navigate treacherous environments through precision jumping, puzzle-solving, and strategic combat. Form an unlikely alliance with an alien prisoner as you fight to escape. Every screen presents a new lethal challenge requiring quick reflexes and careful observation.",
Aqua Moto Racing Utopia,2016-01-21,3.77,,Racing,"Aqua Moto Racing Utopia delivers high-speed jet ski racing action across stunning open-world environments. Pilot powerful watercraft through dynamic ocean waves, perform gravity-defying stunts, and master challenging courses in both single-player and multiplayer modes. The game features a robust career mode where you'll unlock new vehicles and customize your ride with performance upgrades. Race through tropical paradises, navigate treacherous weather conditions, and compete in various event types including circuit races, time trials, and freestyle competitions. The Wii U GamePad integration provides unique control options and real-time race data.",https://images.launchbox-app.com/1316340a-a06f-44a4-87b3-85cbbe201701.jpg
Archery,2016-09-29,,,Sports,"An archery tournament featuring multiple levels from easy indoor target ranges to challenging outdoor courses. Aim carefully and hit stationary and moving animal-shaped targets to earn points and advance through increasingly difficult stages. Designed with younger players in mind, this arcade-style archery simulator uses the Wii U GamePad or Wii Remote for aiming. Progress through sharp-shooter challenges by meeting point requirements in each level, testing your precision and timing across varied environments and target configurations. Sources: - [Archery by Thornbury Software - Nintendo Official Page](https://www.nintendo.com/games/detail/archery-by-thornbury-software-wii-u/) - [Archery by",https://images.launchbox-app.com/d265b9b0-4a2f-4da0-9e3c-5ada48b46bc1.jpg
Armikrog,2016-09-13,3.96,,Adventure,"Step into a handcrafted world of stop-motion clay animation in this unique point-and-click adventure from the creators of Earthworm Jim and The Neverhood. You are Tommynaut, a space explorer who crash-lands on a mysterious planet with your blind alien dog Beak-Beak. Together you must explore the fortress of Armikrog, solving environmental puzzles and uncovering the secrets of this strange world. Every frame is meticulously crafted in physical clay, creating a distinctive visual style unlike anything else. Navigate bizarre rooms, interact with peculiar creatures, and piece together the story through exploration and discovery in this homage to classic adventure games.",https://images.launchbox-app.com/cd2ddbf9-1668-42db-93d1-535b1257382a.png
Armillo,2014-09-03,3.88,,Platformer,"Roll into action as Armillo, a space armadillo on a mission to save his home planet from an alien invasion. This creative 3D platformer blends classic rolling gameplay with unique spherical level design. Navigate through vibrant planets by rolling, boosting, and bouncing across challenging obstacle courses. Collect orbs, rescue critters called cubes, and battle mechanical enemies in fast-paced environments. Switch between the colorful 3D worlds and retro-inspired 2D bonus stages for variety. Use special power-ups to freeze time, grow massive, or blast through enemies.",https://images.launchbox-app.com/c57f2bcc-2191-44c6-b5be-9c0bd5f61c84.png
Armored Acorns,2017-03-23,3.83,,Beat 'em up,"Four squirrels equipped with advanced robots must save their friends from an evil cat CEO in this retro-inspired beat 'em up. Play as Flapjack, Foxglove, Nitelite, and Pothole through caves, forests, and cities. Features 1-4 player local co-op with unique repair abilities to revive teammates. Control squirrels, robots, and vehicles while unleashing special Armored Mode super abilities. Comic-style cutscenes and quirky dialogue accompany the arcade-style brawling action. Use the Wii U GamePad to scan enemies for helpful hints. Sources: - [Co-Optimus - Armored ACORNs: Action Squirrel Squad](https://www.co-optimus.com/game/8382/nintendo-wii-u/armored-acorns-action-squirrel-squad.html) - [GameF",https://images.launchbox-app.com/f7d2d68a-05f5-4fd2-b420-2e4c2e2e2424.png
Arrow Time U,2014-09-18,,,Puzzle/Action,"Guide a neon blue arrow through 40 challenging levels to reach the portal exit. Navigate obstacles and solve puzzles using special abilities including a meter-limited slide power to phase through objects, time-slowing mechanics, and diagonal gliding movement. Race against the clock while managing limited health and power resources. Every 10th level features a boss battle. Developed by XenoHorizon for the Wii U eShop. Sources: - [Arrow Time U Review (Wii U eShop) | Nintendo Life](https://www.nintendolife.com/reviews/wiiu-eshop/arrow_time_u) - [Arrow Time U (2014) | Wii U eShop Game | Nintendo Life](https://www.nintendolife.com/games/wiiu-eshop/arrow_time_u) - [Arrow Time U (Wii U) Review - P",https://images.launchbox-app.com/fe9266e2-c5e3-4fcd-8e47-1f182c0e33a3.png
Art Academy Home Studio,2015-06-25,3.76,,Creative/Art,"Art Academy: Home Studio transforms your Wii U into a comprehensive digital art studio where you can create beautiful paintings and drawings using the GamePad as your canvas. Master various artistic techniques through guided lessons that teach everything from basic sketching and color theory to advanced painting methods, or dive straight into Free Paint mode to unleash your creativity without restrictions. Use the stylus to work with realistic tools including pencils, pastels, and oil paints that respond naturally to pressure and stroke direction. The lessons are taught by experienced instructors who provide step-by-step guidance suitable for beginners and experienced artists alike.",https://images.launchbox-app.com/795300bf-24d3-45cf-84f6-4842df37a49f.png
Art Academy: SketchPad,2013-08-09,3.77,70,Miscellaneous,"Art Academy, also known as Art Academy: Learn painting and drawing techniques with step-by-step training in the PAL regions and Artistic Taste Classroom DS in Japan, is an art training software for the Nintendo DS handheld game console. It was developed by Headstrong Games, and published by Nintendo. Art Academy was originally a two-part training application only available for download via the DSiWare service since 2009. It was later re-released in 2010 as a fully compiled, retail-able DS Game Card with added features, thus also making it available for original Nintendo DS and Nintendo DS Lite users.",https://images.launchbox-app.com/24a6e675-48fd-4cbe-b436-58e117a8a9b3.jpg
Art of Balance,2014-10-09,4.03,82,Puzzle,"Art of Balance is a physics-based puzzle video game developed and published by Shin'en Multimedia. The game was originally released on WiiWare in 2010, then ported to the Wii U's eShop in 2013, PlayStation 4 in 2016 and to Nintendo Switch in 2018. A version was also ported to the Nintendo 3DS's eShop in 2012, titled Art of Balance TOUCH!",https://images.launchbox-app.com/daea58ab-4467-4b5c-9f29-89e5416e1b3a.jpg
Ascent of Kings,2015-10-22,3.83,,Action Platformer,"Race to claim the throne in this side-scrolling adventure-platformer with retro 8-bit style. Play as the youngest of four siblings competing to become king. Explore dangerous passages filled with creatures and deadly traps, solve puzzles to access twelve elemental shrines, and unlock new abilities like extended swimming and climbing to reach previously inaccessible areas. Throw stones to defend yourself while navigating challenging platforming sections. Features responsive controls with Off-TV Play support on GamePad. Sources: - [Ascent of Kings Review (Wii U eShop) | Nintendo Life](https://www.nintendolife.com/reviews/wiiu-eshop/ascent_of_kings) - [Ascent of Kings for Wii U - Nintendo Game",https://images.launchbox-app.com/839d84a7-e2f9-41c3-82f2-0fd309e04ab3.jpg
Asdivine Hearts,2016-06-30,3.99,,RPG,"Embark on a grand fantasy adventure across the world of Asdivine in this classic-style JRPG. A century after a catastrophic event, deity Asdivine Light descends in cat form, enlisting a young man named Zack and his companions to prevent the world's destruction. Battle through turn-based encounters with a unique trust system that unlocks powerful combo attacks as relationships deepen. Craft weapons, customize skills, and develop your party through an extensive growth system. Explore diverse environments from bustling towns to perilous dungeons while unraveling a conspiracy threatening the realm.",https://images.launchbox-app.com/43f09f1d-7782-4680-9afe-daa535b42a9f.png
Assassin's Creed III,2012-11-18,3.69,85,Action Adventure,"Assassin's Creed III is a 2012 action-adventure video game developed by Ubisoft Montreal and published by Ubisoft for PlayStation 3, Xbox 360, Wii U, and Microsoft Windows. It is the fifth major installment in the Assassin's Creed series, and a direct sequel to 2011's Assassin's Creed: Revelations. The game was released worldwide for PlayStation 3 and Xbox 360, beginning in North America on October 30, 2012, with a Wii U and Microsoft Windows release in November 2012.",https://images.launchbox-app.com/7bce7856-4547-48e3-b3c4-7fa4c2abdf78.jpg
Assassin's Creed IV: Black Flag,2013-10-29,4.01,86,Action Adventure,"Assassin's Creed IV: Black Flag is an action-adventure video game developed by Ubisoft Montreal and published by Ubisoft. It is the sixth major instalment in the Assassin's Creed series. Its historical time frame precedes that of Assassin's Creed III (2012), though its modern-day sequences succeed III's own. Black Flag was first released for PlayStation 3, Xbox 360, and Wii U in October 2013 and a month later for PlayStation 4, Xbox One, and Microsoft Windows.",https://images.launchbox-app.com/af608676-75ec-4a8c-977e-e4cc1e6a3204.jpg
Asteroid Quarry,2015-07-09,3.8,,Action / Arcade Shooter,"Humanity has exhausted Earth's resources and turned to the cosmos for survival. Pilot an advanced light-speed craft to mine valuable ore from asteroid fields across the galaxy. Destroy asteroids to break them apart, then collect the precious fragments before they drift away into space. Defend yourself against pirate ships using the central space station's missile defenses. Meet mining quotas to progress through increasingly challenging asteroid configurations in this arcade-style shooter inspired by classic space games. Sources: - [Asteroid Quarry Review (Wii U eShop) | Nintendo Life](https://www.nintendolife.com/reviews/wiiu-eshop/asteroid_quarry) - [Asteroid Quarry for Wii U - GameFAQs](h",https://images.launchbox-app.com/77b14bc0-8adb-45d8-89ea-0e2ee598c665.png
Astral Breakers,,4.0,,,,https://images.launchbox-app.com/970ec6b1-1152-4169-8690-d6ac984df63a.png
Ava and Avior Save the Earth,,3.11,,,,https://images.launchbox-app.com/bca91c8e-3721-43c1-b694-4a72c3754757.png
Avoider,2016-01-07,3.11,,Arcade,Drag your triangle-shaped ship across the touchscreen to dodge incoming enemy spacecraft that spawn randomly from all sides. Your sluggish vessel requires careful path planning to avoid collisions as enemies swarm the screen. Survive as long as possible to rack up points in this simple but challenging arcade avoidance game. The minimalist visuals keep the focus on reflexes and quick decision-making as the screen fills with geometric threats. Sources: - [AVOIDER Review (Wii U eShop) | Nintendo Life](https://www.nintendolife.com/reviews/wiiu-eshop/avoider) - [RCMADIAX to Temporarily Remove AVOIDER From the Wii U eShop | Nintendo Life](https://www.nintendolife.com/news/2016/01/rcmadiax_to_temp,https://images.launchbox-app.com/8f80b644-2c45-4e74-936b-000a10a44c9f.png
Axiom Verge,2015-09-10,4.21,,Action,"Explore a vast, interconnected alien world filled with hidden secrets, deadly enemies, and powerful upgrades in this acclaimed metroidvania-style adventure. After a catastrophic event strands scientist Trace on a mysterious planet, you'll navigate labyrinthine corridors, battle bizarre biomechanical creatures, and uncover the truth behind an ancient civilization's collapse. Master a diverse arsenal of reality-bending weapons and tools, including the iconic Address Disruptor, which lets you glitch through enemies and barriers. Discover over 60 items and power-ups that unlock new abilities and areas, encouraging thorough exploration of the haunting, pixel-art environments.",https://images.launchbox-app.com/f5df3dc6-0ecb-4f43-9eac-0011698cc235.jpg
Azure Snake,2019-01-24,3.5,,Puzzle,"Guide a blue snake around a confined play area, collecting green orbs as they appear. Unlike traditional Snake games, your body creates visual obstruction rather than physical danger. The snake moves automatically forward while you control its direction using the D-Pad. Collect orbs strategically while navigating the increasingly cluttered screen. A minimalist take on the classic formula with simplified collision mechanics and budget-friendly eShop pricing. Sources: - [Azure Snake (Wii U) - The Game Hoard](https://thegamehoard.com/2019/12/04/azure-snake-wii-u/) - [Azure Snake Release Information for Wii U - GameFAQs](https://gamefaqs.gamespot.com/wii-u/255385-azure-snake/data) - [Azure Snak",https://images.launchbox-app.com/437931b0-e1f5-4457-8907-78dd71e68ec6.png
B3 Game Expo for Bees,,3.06,,,,https://images.launchbox-app.com/33eee629-305f-4182-90c5-dea52d56f0ae.png
Back to Bed,2015,2.82,,Puzzle,"Guide the sleepwalker Bob safely back to his bed in this surreal puzzle adventure inspired by the artwork of M.C. Escher and Salvador Dalí. Playing as Bob's subconscious guardian Subob, you must navigate impossible architecture and mind-bending perspectives across dreamlike levels. Place objects to redirect Bob's path, avoid dangers, and manipulate the laws of physics in a world where staircases twist into infinity and gravity bends to your will. With its striking art style, clever spatial puzzles, and whimsical atmosphere, each level presents a fresh challenge as you protect the oblivious Bob from perilous drops and nightmare creatures while shepherding him through his bizarre dreams.",https://images.launchbox-app.com/06022b94-b915-41fd-a36d-f3925287de19.png
